iteration,timestamp,value,node,protocol,run_id,trial,similarity,labels
1,9449,49,"127.0.0.1:9001","","","","","127.0.0.1:9001"
1,9970,49,"127.0.0.1:9000","","","","","127.0.0.1:9000"
