iteration,timestamp,value,node,protocol,run_id,trial,similarity,labels
1,2716,170909696,"127.0.0.1:9001","riblt","sweep_riblt_n100000_sim95_t29","29","0.95","127.0.0.1:9001"
1,2786,170373120,"127.0.0.1:9000","riblt","sweep_riblt_n100000_sim95_t29","29","0.95","127.0.0.1:9000"
