iteration,timestamp,value,node,protocol,run_id,trial,similarity,labels
1,3030,1.267424,"127.0.0.1:9000","merkle","sweep_merkle_n100000_sim80_t12","12","0.80","127.0.0.1:9000"
1,3259,0.23130299999999981,"127.0.0.1:9001","merkle","sweep_merkle_n100000_sim80_t12","12","0.80","127.0.0.1:9001"
