iteration,timestamp,value,node,protocol,run_id,trial,similarity,labels
1,3890,389701632,"127.0.0.1:9000","rbf_riblt","sweep_rbf_riblt_n100000_sim00_t29","29","0","127.0.0.1:9000"
1,4339,451166208,"127.0.0.1:9001","rbf_riblt","sweep_rbf_riblt_n100000_sim00_t29","29","0","127.0.0.1:9001"
