iteration,timestamp,value,node,protocol,run_id,trial,similarity,labels
1,3025,3056712,"127.0.0.1:9000","","sweep_riblt_n100000_sim85_t29","29","0.85","127.0.0.1:9000"
1,3209,4028164,"127.0.0.1:9001","","sweep_riblt_n100000_sim85_t29","29","0.85","127.0.0.1:9001"
