iteration,timestamp,value,node,protocol,run_id,trial,similarity,labels
1,5767,0.110103511,"127.0.0.1:9000","riblt","sweep_riblt_n100000_sim10_t16","16","0.10","127.0.0.1:9000"
1,5770,0.096134577,"127.0.0.1:9001","riblt","sweep_riblt_n100000_sim10_t16","16","0.10","127.0.0.1:9001"
