run_id,protocol,trial,similarity,bytes_sent,transmitted_bytes,similarity_numeric
sweep_merkle_n100000_sim85_t3,merkle,3,0.85,10776074.0,10776074.0,0.85
sweep_merkle_n100000_sim85_t4,merkle,4,0.85,10776074.0,10776074.0,0.85
sweep_merkle_n100000_sim85_t5,merkle,5,0.85,10776074.0,10776074.0,0.85
sweep_merkle_n100000_sim90_t1,merkle,1,0.9,7005804.0,7005804.0,0.9
sweep_merkle_n100000_sim90_t2,merkle,2,0.9,7005804.0,7005804.0,0.9
sweep_merkle_n100000_sim90_t3,merkle,3,0.9,7005804.0,7005804.0,0.9
sweep_merkle_n100000_sim90_t4,merkle,4,0.9,7005804.0,7005804.0,0.9
sweep_merkle_n100000_sim90_t5,merkle,5,0.9,7005804.0,7005804.0,0.9
sweep_merkle_n100000_sim95_t1,merkle,1,0.95,3424874.0,3424874.0,0.95
sweep_merkle_n100000_sim95_t2,merkle,2,0.95,3424874.0,3424874.0,0.95
sweep_merkle_n100000_sim95_t3,merkle,3,0.95,3424874.0,3424874.0,0.95
sweep_merkle_n100000_sim95_t4,merkle,4,0.95,3424874.0,3424874.0,0.95
sweep_merkle_n100000_sim95_t5,merkle,5,0.95,3424874.0,3424874.0,0.95
sweep_merkle_n100000_sim97_t1,merkle,1,0.97,2038516.0,2038516.0,0.97
sweep_merkle_n100000_sim97_t2,merkle,2,0.97,2038516.0,2038516.0,0.97
sweep_merkle_n100000_sim97_t3,merkle,3,0.97,2038516.0,2038516.0,0.97
sweep_merkle_n100000_sim97_t4,merkle,4,0.97,2038516.0,2038516.0,0.97
sweep_merkle_n100000_sim97_t5,merkle,5,0.97,2038516.0,2038516.0,0.97
sweep_merkle_n100000_sim99_t1,merkle,1,0.99,686032.0,686032.0,0.99
sweep_merkle_n100000_sim99_t2,merkle,2,0.99,686032.0,686032.0,0.99
sweep_merkle_n100000_sim99_t3,merkle,3,0.99,686032.0,686032.0,0.99
sweep_merkle_n100000_sim99_t4,merkle,4,0.99,686032.0,686032.0,0.99
sweep_merkle_n100000_sim99_t5,merkle,5,0.99,686032.0,686032.0,0.99
sweep_rbf_riblt_n100000_sim00_t1,rbf_riblt,1,0,31156172.0,31156172.0,0.0
sweep_rbf_riblt_n100000_sim00_t2,rbf_riblt,2,0,31094984.0,31094984.0,0.0
sweep_rbf_riblt_n100000_sim00_t3,rbf_riblt,3,0,31046860.0,31046860.0,0.0
sweep_rbf_riblt_n100000_sim00_t4,rbf_riblt,4,0,31094236.0,31094236.0,0.0
sweep_rbf_riblt_n100000_sim00_t5,rbf_riblt,5,0,31033860.0,31033860.0,0.0
sweep_rbf_riblt_n100000_sim05_t1,rbf_riblt,1,0.05,28214504.0,28214504.0,0.05
sweep_rbf_riblt_n100000_sim05_t2,rbf_riblt,2,0.05,28308244.0,28308244.0,0.05
sweep_rbf_riblt_n100000_sim05_t3,rbf_riblt,3,0.05,28285668.0,28285668.0,0.05
sweep_rbf_riblt_n100000_sim05_t4,rbf_riblt,4,0.05,28241884.0,28241884.0,0.05
sweep_rbf_riblt_n100000_sim05_t5,rbf_riblt,5,0.05,28225764.0,28225764.0,0.05
sweep_rbf_riblt_n100000_sim100_t1,rbf_riblt,1,1,47568.0,47568.0,1.0
sweep_rbf_riblt_n100000_sim100_t2,rbf_riblt,2,1,47568.0,47568.0,1.0
sweep_rbf_riblt_n100000_sim100_t3,rbf_riblt,3,1,47568.0,47568.0,1.0
sweep_rbf_riblt_n100000_sim100_t4,rbf_riblt,4,1,47568.0,47568.0,1.0
sweep_rbf_riblt_n100000_sim100_t5,rbf_riblt,5,1,47568.0,47568.0,1.0
sweep_rbf_riblt_n100000_sim10_t1,rbf_riblt,1,0.1,25607288.0,25607288.0,0.1
sweep_rbf_riblt_n100000_sim10_t2,rbf_riblt,2,0.1,25657592.0,25657592.0,0.1
sweep_rbf_riblt_n100000_sim10_t3,rbf_riblt,3,0.1,25622440.0,25622440.0,0.1
sweep_rbf_riblt_n100000_sim10_t4,rbf_riblt,4,0.1,25609060.0,25609060.0,0.1
sweep_rbf_riblt_n100000_sim10_t5,rbf_riblt,5,0.1,25669872.0,25669872.0,0.1
sweep_rbf_riblt_n100000_sim20_t1,rbf_riblt,1,0.2,21543160.0,21543160.0,0.2
sweep_rbf_riblt_n100000_sim20_t2,rbf_riblt,2,0.2,21697748.0,21697748.0,0.2
sweep_rbf_riblt_n100000_sim20_t3,rbf_riblt,3,0.2,21664196.0,21664196.0,0.2
sweep_rbf_riblt_n100000_sim20_t4,rbf_riblt,4,0.2,21663812.0,21663812.0,0.2
sweep_rbf_riblt_n100000_sim20_t5,rbf_riblt,5,0.2,21730248.0,21730248.0,0.2
sweep_rbf_riblt_n100000_sim30_t1,rbf_riblt,1,0.3,17715928.0,17715928.0,0.3
sweep_rbf_riblt_n100000_sim30_t2,rbf_riblt,2,0.3,17778360.0,17778360.0,0.3
sweep_rbf_riblt_n100000_sim30_t3,rbf_riblt,3,0.3,17649656.0,17649656.0,0.3
sweep_rbf_riblt_n100000_sim30_t4,rbf_riblt,4,0.3,17686312.0,17686312.0,0.3
sweep_rbf_riblt_n100000_sim30_t5,rbf_riblt,5,0.3,17740200.0,17740200.0,0.3
sweep_rbf_riblt_n100000_sim40_t1,rbf_riblt,1,0.4,14212120.0,14212120.0,0.4
sweep_rbf_riblt_n100000_sim40_t2,rbf_riblt,2,0.4,14509100.0,14509100.0,0.4
sweep_rbf_riblt_n100000_sim40_t3,rbf_riblt,3,0.4,14544176.0,14544176.0,0.4
sweep_rbf_riblt_n100000_sim40_t4,rbf_riblt,4,0.4,14645696.0,14645696.0,0.4
sweep_rbf_riblt_n100000_sim40_t5,rbf_riblt,5,0.4,14600828.0,14600828.0,0.4
sweep_rbf_riblt_n100000_sim50_t1,rbf_riblt,1,0.5,11905712.0,11905712.0,0.5
sweep_rbf_riblt_n100000_sim50_t2,rbf_riblt,2,0.5,11952728.0,11952728.0,0.5
sweep_rbf_riblt_n100000_sim50_t3,rbf_riblt,3,0.5,11949852.0,11949852.0,0.5
sweep_rbf_riblt_n100000_sim50_t4,rbf_riblt,4,0.5,11786764.0,11786764.0,0.5
sweep_rbf_riblt_n100000_sim50_t5,rbf_riblt,5,0.5,11859040.0,11859040.0,0.5
sweep_rbf_riblt_n100000_sim60_t1,rbf_riblt,1,0.6,9449488.0,9449488.0,0.6
sweep_rbf_riblt_n100000_sim60_t2,rbf_riblt,2,0.6,9507884.0,9507884.0,0.6
sweep_rbf_riblt_n100000_sim60_t3,rbf_riblt,3,0.6,9539776.0,9539776.0,0.6
sweep_rbf_riblt_n100000_sim60_t4,rbf_riblt,4,0.6,9294284.0,9294284.0,0.6
sweep_rbf_riblt_n100000_sim60_t5,rbf_riblt,5,0.6,9270676.0,9270676.0,0.6
sweep_rbf_riblt_n100000_sim70_t1,rbf_riblt,1,0.7,7309860.0,7309860.0,0.7
sweep_rbf_riblt_n100000_sim70_t2,rbf_riblt,2,0.7,7215356.0,7215356.0,0.7
sweep_rbf_riblt_n100000_sim70_t3,rbf_riblt,3,0.7,7326420.0,7326420.0,0.7
sweep_rbf_riblt_n100000_sim70_t4,rbf_riblt,4,0.7,7139884.0,7139884.0,0.7
sweep_rbf_riblt_n100000_sim70_t5,rbf_riblt,5,0.7,7094376.0,7094376.0,0.7
sweep_rbf_riblt_n100000_sim75_t1,rbf_riblt,1,0.75,6414916.0,6414916.0,0.75
sweep_rbf_riblt_n100000_sim75_t2,rbf_riblt,2,0.75,6459636.0,6459636.0,0.75
sweep_rbf_riblt_n100000_sim75_t3,rbf_riblt,3,0.75,6262388.0,6262388.0,0.75
sweep_rbf_riblt_n100000_sim75_t4,rbf_riblt,4,0.75,6398696.0,6398696.0,0.75
sweep_rbf_riblt_n100000_sim75_t5,rbf_riblt,5,0.75,6497204.0,6497204.0,0.75
sweep_rbf_riblt_n100000_sim80_t1,rbf_riblt,1,0.8,5050856.0,5050856.0,0.8
sweep_rbf_riblt_n100000_sim80_t2,rbf_riblt,2,0.8,5058124.0,5058124.0,0.8
sweep_rbf_riblt_n100000_sim80_t3,rbf_riblt,3,0.8,4979168.0,4979168.0,0.8
sweep_rbf_riblt_n100000_sim80_t4,rbf_riblt,4,0.8,5058740.0,5058740.0,0.8
sweep_rbf_riblt_n100000_sim80_t5,rbf_riblt,5,0.8,4925996.0,4925996.0,0.8
sweep_rbf_riblt_n100000_sim85_t1,rbf_riblt,1,0.85,4874008.0,4874008.0,0.85
sweep_rbf_riblt_n100000_sim85_t2,rbf_riblt,2,0.85,4795668.0,4795668.0,0.85
sweep_rbf_riblt_n100000_sim85_t3,rbf_riblt,3,0.85,4828192.0,4828192.0,0.85
sweep_rbf_riblt_n100000_sim85_t4,rbf_riblt,4,0.85,4917572.0,4917572.0,0.85
sweep_rbf_riblt_n100000_sim85_t5,rbf_riblt,5,0.85,4749944.0,4749944.0,0.85
sweep_rbf_riblt_n100000_sim90_t1,rbf_riblt,1,0.9,3150028.0,3150028.0,0.9
