run_dir,iteration,scom_size,protocol,trial,similarity,run_id
sweep_rbf_riblt_n100000_sim30_t5,1,47922,rbf_riblt,5,0.3,sweep_rbf_riblt_n100000_sim30_t5
sweep_rbf_riblt_n100000_sim40_t1,1,59898,rbf_riblt,1,0.4,sweep_rbf_riblt_n100000_sim40_t1
sweep_rbf_riblt_n100000_sim40_t1,1,58532,rbf_riblt,1,0.4,sweep_rbf_riblt_n100000_sim40_t1
sweep_rbf_riblt_n100000_sim40_t2,1,59809,rbf_riblt,2,0.4,sweep_rbf_riblt_n100000_sim40_t2
sweep_rbf_riblt_n100000_sim40_t2,1,59738,rbf_riblt,2,0.4,sweep_rbf_riblt_n100000_sim40_t2
sweep_rbf_riblt_n100000_sim40_t3,1,59862,rbf_riblt,3,0.4,sweep_rbf_riblt_n100000_sim40_t3
sweep_rbf_riblt_n100000_sim40_t3,1,59749,rbf_riblt,3,0.4,sweep_rbf_riblt_n100000_sim40_t3
sweep_rbf_riblt_n100000_sim40_t4,1,59845,rbf_riblt,4,0.4,sweep_rbf_riblt_n100000_sim40_t4
sweep_rbf_riblt_n100000_sim40_t4,1,59888,rbf_riblt,4,0.4,sweep_rbf_riblt_n100000_sim40_t4
sweep_rbf_riblt_n100000_sim40_t5,1,59783,rbf_riblt,5,0.4,sweep_rbf_riblt_n100000_sim40_t5
sweep_rbf_riblt_n100000_sim40_t5,1,59852,rbf_riblt,5,0.4,sweep_rbf_riblt_n100000_sim40_t5
sweep_rbf_riblt_n100000_sim50_t1,1,70896,rbf_riblt,1,0.5,sweep_rbf_riblt_n100000_sim50_t1
sweep_rbf_riblt_n100000_sim50_t1,1,68770,rbf_riblt,1,0.5,sweep_rbf_riblt_n100000_sim50_t1
sweep_rbf_riblt_n100000_sim50_t2,1,68806,rbf_riblt,2,0.5,sweep_rbf_riblt_n100000_sim50_t2
sweep_rbf_riblt_n100000_sim50_t2,1,70874,rbf_riblt,2,0.5,sweep_rbf_riblt_n100000_sim50_t2
sweep_rbf_riblt_n100000_sim50_t3,1,70768,rbf_riblt,3,0.5,sweep_rbf_riblt_n100000_sim50_t3
sweep_rbf_riblt_n100000_sim50_t3,1,68691,rbf_riblt,3,0.5,sweep_rbf_riblt_n100000_sim50_t3
sweep_rbf_riblt_n100000_sim50_t4,1,70875,rbf_riblt,4,0.5,sweep_rbf_riblt_n100000_sim50_t4
sweep_rbf_riblt_n100000_sim50_t4,1,68729,rbf_riblt,4,0.5,sweep_rbf_riblt_n100000_sim50_t4
sweep_rbf_riblt_n100000_sim50_t5,1,70847,rbf_riblt,5,0.5,sweep_rbf_riblt_n100000_sim50_t5
sweep_rbf_riblt_n100000_sim50_t5,1,68619,rbf_riblt,5,0.5,sweep_rbf_riblt_n100000_sim50_t5
sweep_rbf_riblt_n100000_sim60_t1,1,78211,rbf_riblt,1,0.6,sweep_rbf_riblt_n100000_sim60_t1
sweep_rbf_riblt_n100000_sim60_t1,1,78135,rbf_riblt,1,0.6,sweep_rbf_riblt_n100000_sim60_t1
sweep_rbf_riblt_n100000_sim60_t2,1,78214,rbf_riblt,2,0.6,sweep_rbf_riblt_n100000_sim60_t2
sweep_rbf_riblt_n100000_sim60_t2,1,78084,rbf_riblt,2,0.6,sweep_rbf_riblt_n100000_sim60_t2
sweep_rbf_riblt_n100000_sim60_t3,1,78151,rbf_riblt,3,0.6,sweep_rbf_riblt_n100000_sim60_t3
sweep_rbf_riblt_n100000_sim60_t3,1,78128,rbf_riblt,3,0.6,sweep_rbf_riblt_n100000_sim60_t3
sweep_rbf_riblt_n100000_sim60_t4,1,78002,rbf_riblt,4,0.6,sweep_rbf_riblt_n100000_sim60_t4
sweep_rbf_riblt_n100000_sim60_t4,1,78234,rbf_riblt,4,0.6,sweep_rbf_riblt_n100000_sim60_t4
sweep_rbf_riblt_n100000_sim60_t5,1,78086,rbf_riblt,5,0.6,sweep_rbf_riblt_n100000_sim60_t5
sweep_rbf_riblt_n100000_sim60_t5,1,78098,rbf_riblt,5,0.6,sweep_rbf_riblt_n100000_sim60_t5
sweep_rbf_riblt_n100000_sim70_t1,1,84554,rbf_riblt,1,0.7,sweep_rbf_riblt_n100000_sim70_t1
sweep_rbf_riblt_n100000_sim70_t1,1,86835,rbf_riblt,1,0.7,sweep_rbf_riblt_n100000_sim70_t1
sweep_rbf_riblt_n100000_sim70_t2,1,86774,rbf_riblt,2,0.7,sweep_rbf_riblt_n100000_sim70_t2
sweep_rbf_riblt_n100000_sim70_t2,1,84549,rbf_riblt,2,0.7,sweep_rbf_riblt_n100000_sim70_t2
sweep_rbf_riblt_n100000_sim70_t3,1,86803,rbf_riblt,3,0.7,sweep_rbf_riblt_n100000_sim70_t3
sweep_rbf_riblt_n100000_sim70_t3,1,84557,rbf_riblt,3,0.7,sweep_rbf_riblt_n100000_sim70_t3
sweep_rbf_riblt_n100000_sim70_t4,1,84561,rbf_riblt,4,0.7,sweep_rbf_riblt_n100000_sim70_t4
sweep_rbf_riblt_n100000_sim70_t4,1,86727,rbf_riblt,4,0.7,sweep_rbf_riblt_n100000_sim70_t4
sweep_rbf_riblt_n100000_sim70_t5,1,86887,rbf_riblt,5,0.7,sweep_rbf_riblt_n100000_sim70_t5
sweep_rbf_riblt_n100000_sim70_t5,1,84356,rbf_riblt,5,0.7,sweep_rbf_riblt_n100000_sim70_t5
sweep_rbf_riblt_n100000_sim75_t1,1,89309,rbf_riblt,1,0.75,sweep_rbf_riblt_n100000_sim75_t1
sweep_rbf_riblt_n100000_sim75_t1,1,89228,rbf_riblt,1,0.75,sweep_rbf_riblt_n100000_sim75_t1
sweep_rbf_riblt_n100000_sim75_t2,1,89304,rbf_riblt,2,0.75,sweep_rbf_riblt_n100000_sim75_t2
sweep_rbf_riblt_n100000_sim75_t2,1,89262,rbf_riblt,2,0.75,sweep_rbf_riblt_n100000_sim75_t2
sweep_rbf_riblt_n100000_sim75_t3,1,89206,rbf_riblt,3,0.75,sweep_rbf_riblt_n100000_sim75_t3
sweep_rbf_riblt_n100000_sim75_t3,1,89198,rbf_riblt,3,0.75,sweep_rbf_riblt_n100000_sim75_t3
sweep_rbf_riblt_n100000_sim75_t4,1,89309,rbf_riblt,4,0.75,sweep_rbf_riblt_n100000_sim75_t4
sweep_rbf_riblt_n100000_sim75_t4,1,89340,rbf_riblt,4,0.75,sweep_rbf_riblt_n100000_sim75_t4
sweep_rbf_riblt_n100000_sim75_t5,1,89210,rbf_riblt,5,0.75,sweep_rbf_riblt_n100000_sim75_t5
sweep_rbf_riblt_n100000_sim75_t5,1,89266,rbf_riblt,5,0.75,sweep_rbf_riblt_n100000_sim75_t5
