similarity,riblt_mean_cpu_round_seconds,merkle_mean_cpu_round_seconds,riblt_std_cpu_round_seconds,merkle_std_cpu_round_seconds,riblt_samples,merkle_samples,riblt_minus_merkle_seconds,riblt_to_merkle_ratio
0.0,21.3974184,6.6507369999999995,0.692946037103758,0.23505460319040758,5,5,14.7466814,3.2173003382933354
0.05,20.549650200000002,6.1945154,0.4644966307850901,0.38222429710812483,5,5,14.355134800000002,3.3173943194975353
0.1,20.2598396,5.996354200000001,2.8641714457415617,0.38267665425029557,5,5,14.263485399999999,3.378692939786645
0.2,16.281519600000003,5.485701199999999,0.47301667905614025,0.3817287950465618,5,5,10.795818400000003,2.9679924236485946
0.3,14.958621799999998,4.834399400000001,0.6845755311769468,0.2846665601011122,5,5,10.124222399999997,3.0942047940846584
0.4,14.2424006,4.0631616,0.9261534896332245,0.03303578049327687,5,5,10.179238999999999,3.5052508371805837
0.5,11.648403,3.7529972000000003,0.26855406427849937,0.08743888513241677,5,5,7.8954058,3.1037601093867053
0.6,11.1777704,3.5577084,0.2922097738428679,0.09557275711100953,5,5,7.620062,3.1418455767763316
0.7,10.1517482,3.2545504000000003,0.266343678107253,0.07315081801524843,5,5,6.8971978,3.11924750036134
0.75,9.6932046,2.8791032000000003,0.5041634232203877,0.03755484936995497,5,5,6.814101399999999,3.366744408467192
0.8,9.847536999999999,2.9926242000000003,0.7779587364548969,0.21085077534052396,5,5,6.854912799999999,3.290602608907593
0.85,9.794757,2.7798673999999997,0.9148828804871696,0.16064162302093424,5,5,7.014889600000001,3.523461946422337
0.9,8.7638578,2.9665378000000002,0.34421691077821903,0.20508883731373578,5,5,5.79732,2.9542376975611098
0.95,6.986263800000001,2.5585832,0.29030341955219907,0.025947314209759705,5,5,4.4276806,2.7305204692972267
0.97,6.9086894,2.5416068,0.5531987645768018,0.0772258372418197,5,5,4.3670826,2.7182369043079366
0.99,5.398367,2.5240124,0.11692098045902637,0.11995358757161047,5,5,2.8743546,2.138803676241844
1.0,3.1225707999999996,1.4050354,0.08379376044312614,0.04250874112814924,5,5,1.7175353999999996,2.222414324934446
