protocol,similarity_numeric,iteration,mean_cpu_ms,median_cpu_ms,std_cpu_ms,q25_cpu_ms,q75_cpu_ms,samples
merkle,0.0,1,6800.3514,6794.657,194.4161194687825,6719.253000000001,6874.5779999999995,5
merkle,0.05,1,6339.5908,6246.594,431.03483542133785,6144.157999999999,6340.013000000001,5
merkle,0.1,1,6129.217000000001,5997.870000000001,332.9663987078878,5996.041,6440.1,5
merkle,0.2,1,5609.8054,5750.714999999999,391.3960548310369,5529.037000000001,5766.352999999999,5
merkle,0.3,1,4940.7858,4762.295,304.446143806585,4748.268,5165.953,5
merkle,0.4,1,4146.3986,4156.239,74.33214033175666,4079.128,4177.809,5
merkle,0.5,1,3780.6706000000004,3779.0660000000003,75.04766690111019,3727.2750000000005,3799.809,5
merkle,0.6,1,3668.2951999999996,3639.589,96.47742512214994,3636.731,3763.359,5
merkle,0.7,1,3304.227,3277.408,81.27440835835097,3248.176,3355.248,5
merkle,0.75,1,2918.1396,2914.6520000000005,38.329658468345656,2888.09,2923.2750000000005,5
merkle,0.8,1,3057.248,3025.506,191.4427865094424,2889.422,3167.151,5
merkle,0.85,1,2830.5036,2769.028,213.9157806738438,2721.8140000000008,2787.004,5
merkle,0.9,1,3039.8838,2882.9199999999996,250.5596959552754,2863.582,3200.5260000000003,5
merkle,0.95,1,2595.239,2615.672,48.3397524507522,2567.7219999999998,2633.06,5
merkle,0.97,1,2603.0811999999996,2575.851,121.20524803901866,2549.0869999999995,2614.5209999999997,5
merkle,0.99,1,2597.4211999999998,2627.502,107.88213096801515,2508.121,2657.619,5
merkle,1.0,1,1407.4634,1399.376,43.025831761861554,1382.162,1412.124,5
rbf_riblt,0.0,1,3831.3792000000003,3792.444,163.4847935212937,3731.7929999999997,3814.124,5
rbf_riblt,0.05,1,4237.9626,4074.7819999999997,416.0063374292517,3987.2929999999997,4469.379,5
rbf_riblt,0.1,1,4185.9328000000005,4056.3160000000003,256.7419810105076,4041.284,4161.678,5
rbf_riblt,0.2,1,4293.0656,4264.221,106.44975330783997,4227.778,4383.664000000001,5
rbf_riblt,0.3,1,4505.9982,4510.306,43.6445637588463,4505.219000000001,4515.017,5
rbf_riblt,0.4,1,4409.718,4454.068,85.59519912939089,4370.621,4472.603000000001,5
rbf_riblt,0.5,1,4923.7047999999995,4683.936,363.14610032699005,4658.333,5280.042,5
rbf_riblt,0.6,1,4945.973400000001,4947.407999999999,164.41516295281286,4867.802000000001,4978.233000000001,5
rbf_riblt,0.7,1,4859.465,4890.928,70.72275431924308,4804.47,4894.945,5
rbf_riblt,0.75,1,5427.1604,5333.395,510.0464832893183,5037.503,5735.093,5
rbf_riblt,0.8,1,4923.395600000001,4943.916,62.798051628215376,4927.362000000001,4959.1449999999995,5
rbf_riblt,0.85,1,5391.6132,5338.43,384.90282800688806,5115.081,5643.271999999999,5
rbf_riblt,0.9,1,5330.3896,5081.215999999999,684.6508865606612,5025.161999999999,5353.441000000001,5
rbf_riblt,0.95,1,4452.3044,4405.196,186.18308923825504,4313.131,4529.2300000000005,5
rbf_riblt,0.97,1,4211.826,4135.428,179.07342906891517,4095.609000000001,4288.599999999999,5
rbf_riblt,0.99,1,3818.8556,3722.435,186.1395750338977,3678.140999999999,3958.597,5
rbf_riblt,1.0,1,3137.4974,3142.9839999999995,43.20599213419332,3122.0170000000003,3158.3160000000003,5
riblt,0.0,1,21549.593800000002,21511.461000000003,755.104315316233,21145.473,22261.051,5
riblt,0.05,1,20783.1764,20959.825,551.97680947328,20724.048,21162.205,5
riblt,0.1,1,20378.561599999997,21162.889,2905.6322892195603,17676.418,21396.828,5
riblt,0.2,1,16394.224,16316.681,481.560687385299,16101.82,16879.469,5
riblt,0.3,1,15060.383600000001,14763.648,720.0643188794313,14716.764000000001,14905.155,5
riblt,0.4,1,14386.630799999999,14373.526000000002,952.9674287428194,13761.115999999998,14883.909,5
riblt,0.5,1,11952.5164,12002.898000000001,201.28800236178978,11856.558,12120.380000000001,5
riblt,0.6,1,11283.099,11173.067000000001,274.8247119556388,11055.973000000002,11528.986999999997,5
riblt,0.7,1,10243.251799999998,10221.428999999998,236.40053203979951,10145.196999999998,10413.394,5
riblt,0.75,1,9811.268,9827.816,467.6607890314304,9506.271999999999,9902.515000000001,5
riblt,0.8,1,9926.423,9473.009,822.2939540252642,9378.006000000001,10790.341000000004,5
riblt,0.85,1,10000.6166,9618.610999999997,935.9264476094277,9464.042999999998,10901.493,5
riblt,0.9,1,8918.0822,9034.268,388.56000431297554,8773.714,9117.031,5
riblt,0.95,1,7130.8778,7019.438,213.75876899018604,7018.144,7244.59,5
riblt,0.97,1,7022.3442,7104.365,612.4724889500751,6689.725999999999,7171.744999999999,5
riblt,0.99,1,5557.154199999999,5594.631,193.51613886495383,5390.066999999999,5716.160999999999,5
riblt,1.0,1,3171.6879999999996,3108.0079999999994,97.66030055759606,3101.009,3260.6809999999996,5
