run_dir,iteration,timestamp,round_trips,protocol,trial,similarity,run_id,similarity_numeric
sweep_riblt_n100000_sim40_t2,1,5788,4442,riblt,2,0.4,sweep_riblt_n100000_sim40_t2,0.4
sweep_riblt_n100000_sim40_t3,1,5207,4528,riblt,3,0.4,sweep_riblt_n100000_sim40_t3,0.4
sweep_riblt_n100000_sim40_t3,1,5214,4386,riblt,3,0.4,sweep_riblt_n100000_sim40_t3,0.4
sweep_riblt_n100000_sim40_t4,1,5373,4433,riblt,4,0.4,sweep_riblt_n100000_sim40_t4,0.4
sweep_riblt_n100000_sim40_t4,1,5377,4343,riblt,4,0.4,sweep_riblt_n100000_sim40_t4,0.4
sweep_riblt_n100000_sim40_t5,1,5616,4114,riblt,5,0.4,sweep_riblt_n100000_sim40_t5,0.4
sweep_riblt_n100000_sim40_t5,1,5738,4086,riblt,5,0.4,sweep_riblt_n100000_sim40_t5,0.4
sweep_merkle_n100000_sim40_t1,1,2960,153,merkle,1,0.4,sweep_merkle_n100000_sim40_t1,0.4
sweep_merkle_n100000_sim40_t1,1,2996,153,merkle,1,0.4,sweep_merkle_n100000_sim40_t1,0.4
sweep_merkle_n100000_sim40_t2,1,3056,153,merkle,2,0.4,sweep_merkle_n100000_sim40_t2,0.4
sweep_merkle_n100000_sim40_t2,1,3100,153,merkle,2,0.4,sweep_merkle_n100000_sim40_t2,0.4
sweep_merkle_n100000_sim40_t3,1,3007,153,merkle,3,0.4,sweep_merkle_n100000_sim40_t3,0.4
sweep_merkle_n100000_sim40_t3,1,3042,153,merkle,3,0.4,sweep_merkle_n100000_sim40_t3,0.4
sweep_merkle_n100000_sim40_t4,1,2970,153,merkle,4,0.4,sweep_merkle_n100000_sim40_t4,0.4
sweep_merkle_n100000_sim40_t4,1,3021,153,merkle,4,0.4,sweep_merkle_n100000_sim40_t4,0.4
sweep_merkle_n100000_sim40_t5,1,2965,153,merkle,5,0.4,sweep_merkle_n100000_sim40_t5,0.4
sweep_merkle_n100000_sim40_t5,1,2979,153,merkle,5,0.4,sweep_merkle_n100000_sim40_t5,0.4
sweep_rbf_riblt_n100000_sim40_t1,1,3610,275,rbf_riblt,1,0.4,sweep_rbf_riblt_n100000_sim40_t1,0.4
sweep_rbf_riblt_n100000_sim40_t1,1,3800,43,rbf_riblt,1,0.4,sweep_rbf_riblt_n100000_sim40_t1,0.4
sweep_rbf_riblt_n100000_sim40_t2,1,3670,311,rbf_riblt,2,0.4,sweep_rbf_riblt_n100000_sim40_t2,0.4
sweep_rbf_riblt_n100000_sim40_t2,1,3728,68,rbf_riblt,2,0.4,sweep_rbf_riblt_n100000_sim40_t2,0.4
sweep_rbf_riblt_n100000_sim40_t3,1,3672,315,rbf_riblt,3,0.4,sweep_rbf_riblt_n100000_sim40_t3,0.4
sweep_rbf_riblt_n100000_sim40_t3,1,3761,87,rbf_riblt,3,0.4,sweep_rbf_riblt_n100000_sim40_t3,0.4
sweep_rbf_riblt_n100000_sim40_t4,1,3688,342,rbf_riblt,4,0.4,sweep_rbf_riblt_n100000_sim40_t4,0.4
sweep_rbf_riblt_n100000_sim40_t4,1,3704,88,rbf_riblt,4,0.4,sweep_rbf_riblt_n100000_sim40_t4,0.4
sweep_rbf_riblt_n100000_sim40_t5,1,3741,50,rbf_riblt,5,0.4,sweep_rbf_riblt_n100000_sim40_t5,0.4
sweep_rbf_riblt_n100000_sim40_t5,1,3780,341,rbf_riblt,5,0.4,sweep_rbf_riblt_n100000_sim40_t5,0.4
sweep_riblt_n100000_sim50_t1,1,4788,3572,riblt,1,0.5,sweep_riblt_n100000_sim50_t1,0.5
sweep_riblt_n100000_sim50_t1,1,4793,3631,riblt,1,0.5,sweep_riblt_n100000_sim50_t1,0.5
sweep_riblt_n100000_sim50_t2,1,4756,3593,riblt,2,0.5,sweep_riblt_n100000_sim50_t2,0.5
sweep_riblt_n100000_sim50_t2,1,4777,3634,riblt,2,0.5,sweep_riblt_n100000_sim50_t2,0.5
sweep_riblt_n100000_sim50_t3,1,4809,3431,riblt,3,0.5,sweep_riblt_n100000_sim50_t3,0.5
sweep_riblt_n100000_sim50_t3,1,4920,3420,riblt,3,0.5,sweep_riblt_n100000_sim50_t3,0.5
sweep_riblt_n100000_sim50_t4,1,4703,3662,riblt,4,0.5,sweep_riblt_n100000_sim50_t4,0.5
sweep_riblt_n100000_sim50_t4,1,4830,3555,riblt,4,0.5,sweep_riblt_n100000_sim50_t4,0.5
sweep_riblt_n100000_sim50_t5,1,4781,3610,riblt,5,0.5,sweep_riblt_n100000_sim50_t5,0.5
sweep_riblt_n100000_sim50_t5,1,5381,3561,riblt,5,0.5,sweep_riblt_n100000_sim50_t5,0.5
sweep_merkle_n100000_sim50_t1,1,2827,129,merkle,1,0.5,sweep_merkle_n100000_sim50_t1,0.5
sweep_merkle_n100000_sim50_t1,1,2831,129,merkle,1,0.5,sweep_merkle_n100000_sim50_t1,0.5
sweep_merkle_n100000_sim50_t2,1,2859,129,merkle,2,0.5,sweep_merkle_n100000_sim50_t2,0.5
sweep_merkle_n100000_sim50_t2,1,2903,129,merkle,2,0.5,sweep_merkle_n100000_sim50_t2,0.5
sweep_merkle_n100000_sim50_t3,1,2909,129,merkle,3,0.5,sweep_merkle_n100000_sim50_t3,0.5
sweep_merkle_n100000_sim50_t3,1,2935,129,merkle,3,0.5,sweep_merkle_n100000_sim50_t3,0.5
sweep_merkle_n100000_sim50_t4,1,2783,129,merkle,4,0.5,sweep_merkle_n100000_sim50_t4,0.5
sweep_merkle_n100000_sim50_t4,1,2793,129,merkle,4,0.5,sweep_merkle_n100000_sim50_t4,0.5
sweep_merkle_n100000_sim50_t5,1,2845,129,merkle,5,0.5,sweep_merkle_n100000_sim50_t5,0.5
sweep_merkle_n100000_sim50_t5,1,2854,129,merkle,5,0.5,sweep_merkle_n100000_sim50_t5,0.5
sweep_rbf_riblt_n100000_sim50_t1,1,4245,398,rbf_riblt,1,0.5,sweep_rbf_riblt_n100000_sim50_t1,0.5
sweep_rbf_riblt_n100000_sim50_t1,1,4298,46,rbf_riblt,1,0.5,sweep_rbf_riblt_n100000_sim50_t1,0.5
sweep_rbf_riblt_n100000_sim50_t2,1,3871,45,rbf_riblt,2,0.5,sweep_rbf_riblt_n100000_sim50_t2,0.5
sweep_rbf_riblt_n100000_sim50_t2,1,3877,405,rbf_riblt,2,0.5,sweep_rbf_riblt_n100000_sim50_t2,0.5
sweep_rbf_riblt_n100000_sim50_t3,1,4210,411,rbf_riblt,3,0.5,sweep_rbf_riblt_n100000_sim50_t3,0.5
sweep_rbf_riblt_n100000_sim50_t3,1,4233,62,rbf_riblt,3,0.5,sweep_rbf_riblt_n100000_sim50_t3,0.5
sweep_rbf_riblt_n100000_sim50_t4,1,3874,376,rbf_riblt,4,0.5,sweep_rbf_riblt_n100000_sim50_t4,0.5
sweep_rbf_riblt_n100000_sim50_t4,1,3881,43,rbf_riblt,4,0.5,sweep_rbf_riblt_n100000_sim50_t4,0.5
sweep_rbf_riblt_n100000_sim50_t5,1,3845,390,rbf_riblt,5,0.5,sweep_rbf_riblt_n100000_sim50_t5,0.5
sweep_rbf_riblt_n100000_sim50_t5,1,3948,42,rbf_riblt,5,0.5,sweep_rbf_riblt_n100000_sim50_t5,0.5
sweep_riblt_n100000_sim60_t1,1,4458,2884,riblt,1,0.6,sweep_riblt_n100000_sim60_t1,0.6
sweep_riblt_n100000_sim60_t1,1,4583,2707,riblt,1,0.6,sweep_riblt_n100000_sim60_t1,0.6
sweep_riblt_n100000_sim60_t2,1,4583,2822,riblt,2,0.6,sweep_riblt_n100000_sim60_t2,0.6
sweep_riblt_n100000_sim60_t2,1,4588,2746,riblt,2,0.6,sweep_riblt_n100000_sim60_t2,0.6
