run_id,protocol,trial,similarity,iteration,rss_memory_bytes,similarity_numeric,rss_memory_mb
sweep_merkle_n100000_sim85_t2,merkle,2,0.85,1,307290112,0.85,293.0546875
sweep_merkle_n100000_sim85_t3,merkle,3,0.85,1,264085504,0.85,251.8515625
sweep_merkle_n100000_sim85_t4,merkle,4,0.85,1,288321536,0.85,274.96484375
sweep_merkle_n100000_sim85_t5,merkle,5,0.85,1,298188800,0.85,284.375
sweep_merkle_n100000_sim90_t1,merkle,1,0.9,1,310702080,0.9,296.30859375
sweep_merkle_n100000_sim90_t2,merkle,2,0.9,1,269496320,0.9,257.01171875
sweep_merkle_n100000_sim90_t3,merkle,3,0.9,1,269742080,0.9,257.24609375
sweep_merkle_n100000_sim90_t4,merkle,4,0.9,1,310861824,0.9,296.4609375
sweep_merkle_n100000_sim90_t5,merkle,5,0.9,1,274407424,0.9,261.6953125
sweep_merkle_n100000_sim95_t1,merkle,1,0.95,1,250679296,0.95,239.06640625
sweep_merkle_n100000_sim95_t2,merkle,2,0.95,1,305504256,0.95,291.3515625
sweep_merkle_n100000_sim95_t3,merkle,3,0.95,1,254775296,0.95,242.97265625
sweep_merkle_n100000_sim95_t4,merkle,4,0.95,1,249294848,0.95,237.74609375
sweep_merkle_n100000_sim95_t5,merkle,5,0.95,1,251928576,0.95,240.2578125
sweep_merkle_n100000_sim97_t1,merkle,1,0.97,1,292442112,0.97,278.89453125
sweep_merkle_n100000_sim97_t2,merkle,2,0.97,1,268288000,0.97,255.859375
sweep_merkle_n100000_sim97_t3,merkle,3,0.97,1,261713920,0.97,249.58984375
sweep_merkle_n100000_sim97_t4,merkle,4,0.97,1,262828032,0.97,250.65234375
sweep_merkle_n100000_sim97_t5,merkle,5,0.97,1,275824640,0.97,263.046875
sweep_merkle_n100000_sim99_t1,merkle,1,0.99,1,260767744,0.99,248.6875
sweep_merkle_n100000_sim99_t2,merkle,2,0.99,1,287002624,0.99,273.70703125
sweep_merkle_n100000_sim99_t3,merkle,3,0.99,1,271814656,0.99,259.22265625
sweep_merkle_n100000_sim99_t4,merkle,4,0.99,1,272609280,0.99,259.98046875
sweep_merkle_n100000_sim99_t5,merkle,5,0.99,1,270422016,0.99,257.89453125
sweep_rbf_riblt_n100000_sim00_t1,rbf_riblt,1,0,1,409419776,0.0,390.453125
sweep_rbf_riblt_n100000_sim00_t2,rbf_riblt,2,0,1,446177280,0.0,425.5078125
sweep_rbf_riblt_n100000_sim00_t3,rbf_riblt,3,0,1,417046528,0.0,397.7265625
sweep_rbf_riblt_n100000_sim00_t4,rbf_riblt,4,0,1,421498880,0.0,401.97265625
sweep_rbf_riblt_n100000_sim00_t5,rbf_riblt,5,0,1,437309440,0.0,417.05078125
sweep_rbf_riblt_n100000_sim05_t1,rbf_riblt,1,0.05,1,383954944,0.05,366.16796875
sweep_rbf_riblt_n100000_sim05_t2,rbf_riblt,2,0.05,1,409739264,0.05,390.7578125
sweep_rbf_riblt_n100000_sim05_t3,rbf_riblt,3,0.05,1,381431808,0.05,363.76171875
sweep_rbf_riblt_n100000_sim05_t4,rbf_riblt,4,0.05,1,386666496,0.05,368.75390625
sweep_rbf_riblt_n100000_sim05_t5,rbf_riblt,5,0.05,1,387207168,0.05,369.26953125
sweep_rbf_riblt_n100000_sim100_t1,rbf_riblt,1,1,1,129589248,1.0,123.5859375
sweep_rbf_riblt_n100000_sim100_t2,rbf_riblt,2,1,1,129134592,1.0,123.15234375
sweep_rbf_riblt_n100000_sim100_t3,rbf_riblt,3,1,1,122941440,1.0,117.24609375
sweep_rbf_riblt_n100000_sim100_t4,rbf_riblt,4,1,1,131407872,1.0,125.3203125
sweep_rbf_riblt_n100000_sim100_t5,rbf_riblt,5,1,1,129462272,1.0,123.46484375
sweep_rbf_riblt_n100000_sim10_t1,rbf_riblt,1,0.1,1,344498176,0.1,328.5390625
sweep_rbf_riblt_n100000_sim10_t2,rbf_riblt,2,0.1,1,301154304,0.1,287.203125
sweep_rbf_riblt_n100000_sim10_t3,rbf_riblt,3,0.1,1,367718400,0.1,350.68359375
