iteration,timestamp,value,node,protocol,run_id,trial,similarity,labels
1,4350,268,"127.0.0.1:9001","riblt","sweep_riblt_n100000_sim70_t5","5","0.70","127.0.0.1:9001"
1,4354,367,"127.0.0.1:9000","riblt","sweep_riblt_n100000_sim70_t5","5","0.70","127.0.0.1:9000"
