protocol,similarity,seed_seconds,decode_seconds,decoded_difference
rbf_riblt,0.0,0.0058393447,0.05103653709999997,3221.266666666667
rbf_riblt,0.05,0.013510718100000001,0.12327988419999997,3183.1666666666665
rbf_riblt,0.1,0.0243648699,0.18505869066666664,3189.6
rbf_riblt,0.2,0.045622084599999994,0.35253586016666666,5232.133333333333
rbf_riblt,0.3,0.06116396946666667,0.4656183384666666,5044.066666666667
rbf_riblt,0.4,0.0821737662,0.5542540347333332,4753.866666666667
rbf_riblt,0.5,0.09653825883333332,0.6833873453999999,6257.5
rbf_riblt,0.6,0.09982935766666666,0.7493644961,6243.966666666666
rbf_riblt,0.7,0.1120396614,0.8427259539333334,6553.6
rbf_riblt,0.75,0.1151364542,0.8754831203333333,7147.3
rbf_riblt,0.8,0.11071663643333333,0.8396320532333333,5558.8
rbf_riblt,0.85,0.11099427373333333,0.9565515369666666,8104.066666666667
rbf_riblt,0.9,0.1196791522,0.8662054940333335,5262.933333333333
rbf_riblt,0.95,0.11731370366666667,0.7588271701000001,2563.8
rbf_riblt,0.97,0.11384038376666666,0.6700904979666666,1510.0333333333333
rbf_riblt,0.99,0.11644627960000001,0.5099870323,506.43333333333334
rbf_riblt,1.0,0.11552271389999999,0.21259321779999998,0.0
