similarity,riblt_mean_round_trips,merkle_mean_round_trips,riblt_std_round_trips,merkle_std_round_trips,riblt_trials,merkle_trials,riblt_minus_merkle_round_trips,riblt_to_merkle_ratio
0.0,11061.366666666667,314.9166666666667,225.9503445274881,0.2787178067853077,60,60,10746.45,35.12474199523683
0.05,10003.6,292.8666666666667,215.14553214045628,0.3428033318008844,60,60,9710.733333333334,34.15752333257455
0.1,9090.033333333333,268.8833333333333,229.0451044816407,0.32373177151309357,60,60,8821.15,33.80660757453666
0.2,7476.6,224.83333333333334,158.30524044560994,0.37582301400142043,60,60,7251.766666666667,33.25396590066716
0.3,6082.216666666666,190.9,131.15343474849487,0.35415212665401036,60,60,5891.316666666667,31.860747337174782
0.4,4907.883333333333,152.93333333333334,109.51713613560493,0.25154887429323286,60,60,4754.95,32.09165213600697
0.5,3862.45,128.93333333333334,109.18813262019252,0.25154887429323847,60,60,3733.5166666666664,29.95695449844881
0.6,2992.233333333333,100.88333333333334,77.3629716242278,0.3237317715130928,60,60,2891.35,29.66033371881711
0.7,2218.366666666667,80.95,58.6289587342287,0.21978417765108585,60,60,2137.416666666667,27.40415894585135
0.75,1854.75,72.96666666666667,61.48628757147428,0.18102033471939513,60,60,1781.7833333333333,25.41914116034719
0.8,1521.9833333333333,62.916666666666664,40.797346069660975,0.2787178067853009,60,60,1459.0666666666666,24.19046357615894
0.85,1185.85,54.95,44.20170446901454,0.21978417765108288,60,60,1130.8999999999999,21.58052775250227
0.9,892.8166666666667,46.95,39.174313473986885,0.21978417765108418,60,60,845.8666666666667,19.016329428470005
0.95,523.0,40.916666666666664,28.191235565541778,0.27871780678530184,60,60,482.0833333333333,12.782077393075356
0.97,354.98333333333335,38.95,17.786389451418003,0.21978417765108366,60,60,316.03333333333336,9.113821138211382
0.99,143.96666666666667,38.93333333333333,10.881436013574408,0.2515488742932324,60,60,105.03333333333333,3.69777397260274
1.0,3.5166666666666666,1.0,0.5039392842990978,0.0,60,60,2.5166666666666666,3.5166666666666666
