run_dir,iteration,bloom_slices,protocol,trial,similarity,run_id
sweep_rbf_riblt_n100000_sim00_t17,1,10,rbf_riblt,17,0,sweep_rbf_riblt_n100000_sim00_t17
sweep_rbf_riblt_n100000_sim00_t17,1,5,rbf_riblt,17,0,sweep_rbf_riblt_n100000_sim00_t17
sweep_rbf_riblt_n100000_sim00_t18,1,5,rbf_riblt,18,0,sweep_rbf_riblt_n100000_sim00_t18
sweep_rbf_riblt_n100000_sim00_t18,1,10,rbf_riblt,18,0,sweep_rbf_riblt_n100000_sim00_t18
sweep_rbf_riblt_n100000_sim00_t19,1,10,rbf_riblt,19,0,sweep_rbf_riblt_n100000_sim00_t19
sweep_rbf_riblt_n100000_sim00_t19,1,5,rbf_riblt,19,0,sweep_rbf_riblt_n100000_sim00_t19
sweep_rbf_riblt_n100000_sim00_t20,1,10,rbf_riblt,20,0,sweep_rbf_riblt_n100000_sim00_t20
sweep_rbf_riblt_n100000_sim00_t20,1,5,rbf_riblt,20,0,sweep_rbf_riblt_n100000_sim00_t20
sweep_rbf_riblt_n100000_sim00_t21,1,5,rbf_riblt,21,0,sweep_rbf_riblt_n100000_sim00_t21
sweep_rbf_riblt_n100000_sim00_t21,1,10,rbf_riblt,21,0,sweep_rbf_riblt_n100000_sim00_t21
sweep_rbf_riblt_n100000_sim00_t22,1,10,rbf_riblt,22,0,sweep_rbf_riblt_n100000_sim00_t22
sweep_rbf_riblt_n100000_sim00_t22,1,5,rbf_riblt,22,0,sweep_rbf_riblt_n100000_sim00_t22
sweep_rbf_riblt_n100000_sim00_t23,1,5,rbf_riblt,23,0,sweep_rbf_riblt_n100000_sim00_t23
sweep_rbf_riblt_n100000_sim00_t23,1,10,rbf_riblt,23,0,sweep_rbf_riblt_n100000_sim00_t23
sweep_rbf_riblt_n100000_sim00_t24,1,10,rbf_riblt,24,0,sweep_rbf_riblt_n100000_sim00_t24
sweep_rbf_riblt_n100000_sim00_t24,1,5,rbf_riblt,24,0,sweep_rbf_riblt_n100000_sim00_t24
sweep_rbf_riblt_n100000_sim00_t25,1,5,rbf_riblt,25,0,sweep_rbf_riblt_n100000_sim00_t25
sweep_rbf_riblt_n100000_sim00_t25,1,10,rbf_riblt,25,0,sweep_rbf_riblt_n100000_sim00_t25
sweep_rbf_riblt_n100000_sim00_t26,1,5,rbf_riblt,26,0,sweep_rbf_riblt_n100000_sim00_t26
sweep_rbf_riblt_n100000_sim00_t26,1,10,rbf_riblt,26,0,sweep_rbf_riblt_n100000_sim00_t26
sweep_rbf_riblt_n100000_sim00_t27,1,5,rbf_riblt,27,0,sweep_rbf_riblt_n100000_sim00_t27
sweep_rbf_riblt_n100000_sim00_t27,1,10,rbf_riblt,27,0,sweep_rbf_riblt_n100000_sim00_t27
sweep_rbf_riblt_n100000_sim00_t28,1,5,rbf_riblt,28,0,sweep_rbf_riblt_n100000_sim00_t28
sweep_rbf_riblt_n100000_sim00_t28,1,10,rbf_riblt,28,0,sweep_rbf_riblt_n100000_sim00_t28
sweep_rbf_riblt_n100000_sim00_t29,1,5,rbf_riblt,29,0,sweep_rbf_riblt_n100000_sim00_t29
sweep_rbf_riblt_n100000_sim00_t29,1,10,rbf_riblt,29,0,sweep_rbf_riblt_n100000_sim00_t29
sweep_rbf_riblt_n100000_sim00_t30,1,5,rbf_riblt,30,0,sweep_rbf_riblt_n100000_sim00_t30
sweep_rbf_riblt_n100000_sim00_t30,1,10,rbf_riblt,30,0,sweep_rbf_riblt_n100000_sim00_t30
sweep_rbf_riblt_n100000_sim05_t1,1,5,rbf_riblt,1,0.05,sweep_rbf_riblt_n100000_sim05_t1
sweep_rbf_riblt_n100000_sim05_t1,1,8,rbf_riblt,1,0.05,sweep_rbf_riblt_n100000_sim05_t1
sweep_rbf_riblt_n100000_sim05_t2,1,5,rbf_riblt,2,0.05,sweep_rbf_riblt_n100000_sim05_t2
sweep_rbf_riblt_n100000_sim05_t2,1,8,rbf_riblt,2,0.05,sweep_rbf_riblt_n100000_sim05_t2
sweep_rbf_riblt_n100000_sim05_t3,1,5,rbf_riblt,3,0.05,sweep_rbf_riblt_n100000_sim05_t3
sweep_rbf_riblt_n100000_sim05_t3,1,8,rbf_riblt,3,0.05,sweep_rbf_riblt_n100000_sim05_t3
sweep_rbf_riblt_n100000_sim05_t4,1,5,rbf_riblt,4,0.05,sweep_rbf_riblt_n100000_sim05_t4
sweep_rbf_riblt_n100000_sim05_t4,1,8,rbf_riblt,4,0.05,sweep_rbf_riblt_n100000_sim05_t4
sweep_rbf_riblt_n100000_sim05_t5,1,5,rbf_riblt,5,0.05,sweep_rbf_riblt_n100000_sim05_t5
sweep_rbf_riblt_n100000_sim05_t5,1,8,rbf_riblt,5,0.05,sweep_rbf_riblt_n100000_sim05_t5
sweep_rbf_riblt_n100000_sim05_t6,1,5,rbf_riblt,6,0.05,sweep_rbf_riblt_n100000_sim05_t6
sweep_rbf_riblt_n100000_sim05_t6,1,8,rbf_riblt,6,0.05,sweep_rbf_riblt_n100000_sim05_t6
sweep_rbf_riblt_n100000_sim05_t7,1,5,rbf_riblt,7,0.05,sweep_rbf_riblt_n100000_sim05_t7
sweep_rbf_riblt_n100000_sim05_t7,1,8,rbf_riblt,7,0.05,sweep_rbf_riblt_n100000_sim05_t7
sweep_rbf_riblt_n100000_sim05_t8,1,5,rbf_riblt,8,0.05,sweep_rbf_riblt_n100000_sim05_t8
sweep_rbf_riblt_n100000_sim05_t8,1,8,rbf_riblt,8,0.05,sweep_rbf_riblt_n100000_sim05_t8
sweep_rbf_riblt_n100000_sim05_t9,1,5,rbf_riblt,9,0.05,sweep_rbf_riblt_n100000_sim05_t9
sweep_rbf_riblt_n100000_sim05_t9,1,8,rbf_riblt,9,0.05,sweep_rbf_riblt_n100000_sim05_t9
sweep_rbf_riblt_n100000_sim05_t10,1,5,rbf_riblt,10,0.05,sweep_rbf_riblt_n100000_sim05_t10
sweep_rbf_riblt_n100000_sim05_t10,1,8,rbf_riblt,10,0.05,sweep_rbf_riblt_n100000_sim05_t10
sweep_rbf_riblt_n100000_sim05_t11,1,5,rbf_riblt,11,0.05,sweep_rbf_riblt_n100000_sim05_t11
sweep_rbf_riblt_n100000_sim05_t11,1,8,rbf_riblt,11,0.05,sweep_rbf_riblt_n100000_sim05_t11
sweep_rbf_riblt_n100000_sim05_t12,1,8,rbf_riblt,12,0.05,sweep_rbf_riblt_n100000_sim05_t12
sweep_rbf_riblt_n100000_sim05_t12,1,5,rbf_riblt,12,0.05,sweep_rbf_riblt_n100000_sim05_t12
sweep_rbf_riblt_n100000_sim05_t13,1,5,rbf_riblt,13,0.05,sweep_rbf_riblt_n100000_sim05_t13
sweep_rbf_riblt_n100000_sim05_t13,1,8,rbf_riblt,13,0.05,sweep_rbf_riblt_n100000_sim05_t13
sweep_rbf_riblt_n100000_sim05_t14,1,5,rbf_riblt,14,0.05,sweep_rbf_riblt_n100000_sim05_t14
sweep_rbf_riblt_n100000_sim05_t14,1,8,rbf_riblt,14,0.05,sweep_rbf_riblt_n100000_sim05_t14
sweep_rbf_riblt_n100000_sim05_t15,1,5,rbf_riblt,15,0.05,sweep_rbf_riblt_n100000_sim05_t15
sweep_rbf_riblt_n100000_sim05_t15,1,8,rbf_riblt,15,0.05,sweep_rbf_riblt_n100000_sim05_t15
sweep_rbf_riblt_n100000_sim05_t16,1,5,rbf_riblt,16,0.05,sweep_rbf_riblt_n100000_sim05_t16
sweep_rbf_riblt_n100000_sim05_t16,1,8,rbf_riblt,16,0.05,sweep_rbf_riblt_n100000_sim05_t16
sweep_rbf_riblt_n100000_sim05_t17,1,5,rbf_riblt,17,0.05,sweep_rbf_riblt_n100000_sim05_t17
sweep_rbf_riblt_n100000_sim05_t17,1,8,rbf_riblt,17,0.05,sweep_rbf_riblt_n100000_sim05_t17
sweep_rbf_riblt_n100000_sim05_t18,1,5,rbf_riblt,18,0.05,sweep_rbf_riblt_n100000_sim05_t18
sweep_rbf_riblt_n100000_sim05_t18,1,8,rbf_riblt,18,0.05,sweep_rbf_riblt_n100000_sim05_t18
sweep_rbf_riblt_n100000_sim05_t19,1,5,rbf_riblt,19,0.05,sweep_rbf_riblt_n100000_sim05_t19
sweep_rbf_riblt_n100000_sim05_t19,1,8,rbf_riblt,19,0.05,sweep_rbf_riblt_n100000_sim05_t19
sweep_rbf_riblt_n100000_sim05_t20,1,5,rbf_riblt,20,0.05,sweep_rbf_riblt_n100000_sim05_t20
sweep_rbf_riblt_n100000_sim05_t20,1,8,rbf_riblt,20,0.05,sweep_rbf_riblt_n100000_sim05_t20
sweep_rbf_riblt_n100000_sim05_t21,1,5,rbf_riblt,21,0.05,sweep_rbf_riblt_n100000_sim05_t21
sweep_rbf_riblt_n100000_sim05_t21,1,8,rbf_riblt,21,0.05,sweep_rbf_riblt_n100000_sim05_t21
sweep_rbf_riblt_n100000_sim05_t22,1,5,rbf_riblt,22,0.05,sweep_rbf_riblt_n100000_sim05_t22
sweep_rbf_riblt_n100000_sim05_t22,1,8,rbf_riblt,22,0.05,sweep_rbf_riblt_n100000_sim05_t22
sweep_rbf_riblt_n100000_sim05_t23,1,5,rbf_riblt,23,0.05,sweep_rbf_riblt_n100000_sim05_t23
sweep_rbf_riblt_n100000_sim05_t23,1,8,rbf_riblt,23,0.05,sweep_rbf_riblt_n100000_sim05_t23
sweep_rbf_riblt_n100000_sim05_t24,1,5,rbf_riblt,24,0.05,sweep_rbf_riblt_n100000_sim05_t24
sweep_rbf_riblt_n100000_sim05_t24,1,8,rbf_riblt,24,0.05,sweep_rbf_riblt_n100000_sim05_t24
sweep_rbf_riblt_n100000_sim05_t25,1,5,rbf_riblt,25,0.05,sweep_rbf_riblt_n100000_sim05_t25
sweep_rbf_riblt_n100000_sim05_t25,1,8,rbf_riblt,25,0.05,sweep_rbf_riblt_n100000_sim05_t25
sweep_rbf_riblt_n100000_sim05_t26,1,5,rbf_riblt,26,0.05,sweep_rbf_riblt_n100000_sim05_t26
sweep_rbf_riblt_n100000_sim05_t26,1,8,rbf_riblt,26,0.05,sweep_rbf_riblt_n100000_sim05_t26
sweep_rbf_riblt_n100000_sim05_t27,1,5,rbf_riblt,27,0.05,sweep_rbf_riblt_n100000_sim05_t27
sweep_rbf_riblt_n100000_sim05_t27,1,8,rbf_riblt,27,0.05,sweep_rbf_riblt_n100000_sim05_t27
sweep_rbf_riblt_n100000_sim05_t28,1,5,rbf_riblt,28,0.05,sweep_rbf_riblt_n100000_sim05_t28
sweep_rbf_riblt_n100000_sim05_t28,1,8,rbf_riblt,28,0.05,sweep_rbf_riblt_n100000_sim05_t28
sweep_rbf_riblt_n100000_sim05_t29,1,5,rbf_riblt,29,0.05,sweep_rbf_riblt_n100000_sim05_t29
sweep_rbf_riblt_n100000_sim05_t29,1,8,rbf_riblt,29,0.05,sweep_rbf_riblt_n100000_sim05_t29
sweep_rbf_riblt_n100000_sim05_t30,1,5,rbf_riblt,30,0.05,sweep_rbf_riblt_n100000_sim05_t30
sweep_rbf_riblt_n100000_sim05_t30,1,8,rbf_riblt,30,0.05,sweep_rbf_riblt_n100000_sim05_t30
sweep_rbf_riblt_n100000_sim10_t1,1,5,rbf_riblt,1,0.1,sweep_rbf_riblt_n100000_sim10_t1
sweep_rbf_riblt_n100000_sim10_t1,1,7,rbf_riblt,1,0.1,sweep_rbf_riblt_n100000_sim10_t1
sweep_rbf_riblt_n100000_sim10_t2,1,5,rbf_riblt,2,0.1,sweep_rbf_riblt_n100000_sim10_t2
sweep_rbf_riblt_n100000_sim10_t2,1,7,rbf_riblt,2,0.1,sweep_rbf_riblt_n100000_sim10_t2
sweep_rbf_riblt_n100000_sim10_t3,1,5,rbf_riblt,3,0.1,sweep_rbf_riblt_n100000_sim10_t3
sweep_rbf_riblt_n100000_sim10_t3,1,7,rbf_riblt,3,0.1,sweep_rbf_riblt_n100000_sim10_t3
sweep_rbf_riblt_n100000_sim10_t4,1,5,rbf_riblt,4,0.1,sweep_rbf_riblt_n100000_sim10_t4
sweep_rbf_riblt_n100000_sim10_t4,1,7,rbf_riblt,4,0.1,sweep_rbf_riblt_n100000_sim10_t4
sweep_rbf_riblt_n100000_sim10_t5,1,5,rbf_riblt,5,0.1,sweep_rbf_riblt_n100000_sim10_t5
sweep_rbf_riblt_n100000_sim10_t5,1,7,rbf_riblt,5,0.1,sweep_rbf_riblt_n100000_sim10_t5
sweep_rbf_riblt_n100000_sim10_t6,1,5,rbf_riblt,6,0.1,sweep_rbf_riblt_n100000_sim10_t6
sweep_rbf_riblt_n100000_sim10_t6,1,7,rbf_riblt,6,0.1,sweep_rbf_riblt_n100000_sim10_t6
sweep_rbf_riblt_n100000_sim10_t7,1,5,rbf_riblt,7,0.1,sweep_rbf_riblt_n100000_sim10_t7
sweep_rbf_riblt_n100000_sim10_t7,1,7,rbf_riblt,7,0.1,sweep_rbf_riblt_n100000_sim10_t7
sweep_rbf_riblt_n100000_sim10_t8,1,5,rbf_riblt,8,0.1,sweep_rbf_riblt_n100000_sim10_t8
