similarity,riblt_mean_round_duration_seconds,merkle_mean_round_duration_seconds,riblt_std_round_duration_seconds,merkle_std_round_duration_seconds,riblt_rounds,merkle_rounds,riblt_minus_merkle_seconds,riblt_to_merkle_ratio
0.0,5.0309077787500005,8.089349614133333,0.1490627452999096,0.22610891705860092,60,60,-3.0584418353833325,0.621917461690645
0.05,4.770296805416667,7.548990779166667,0.16818460804723373,0.2246075526385157,60,60,-2.7786939737500003,0.6319118601365228
0.1,4.309586911599999,6.8687176912000005,0.17082286092870488,0.2176218643115247,60,60,-2.559130779600001,0.6274223378144244
0.2,3.7342599268333334,5.767948587233334,0.12160677859152906,0.18814626293786335,60,60,-2.0336886604,0.6474156054543677
0.3,3.284711254716667,4.9117297127,0.09446331084996333,0.16417831335993707,60,60,-1.6270184579833327,0.6687483731491908
0.4,2.883480624383333,4.000458130816667,0.09789312327197289,0.15704300077200484,60,60,-1.1169775064333338,0.7207876023426071
0.5,2.550688312083333,3.40328029995,0.1166122625916975,0.1466089335917562,60,60,-0.852591987866667,0.7494793514718159
0.6,2.200589058133333,2.7242467831833332,0.08154410087076074,0.1421555877101855,60,60,-0.5236577250500001,0.8077788956997147
0.7,1.9173433465666667,2.21133375935,0.06067317072536401,0.1318754970264023,60,60,-0.29399041278333327,0.8670528989392587
0.75,1.7971760315333334,1.9721232121833334,0.08098527646490916,0.12216449244479304,60,60,-0.17494718065000003,0.9112899338290753
0.8,1.65746025295,1.7164411796,0.07438005028305791,0.1138609920995558,60,60,-0.0589809266500001,0.9656376650997472
0.85,1.5651269366333334,1.51219972925,0.06554544463219043,0.11442781795254643,60,60,0.05292720738333334,1.0350001434067069
0.9,1.4611053570333332,1.3115649196666666,0.055586582310761565,0.10916504011040981,60,60,0.14954043736666667,1.1140168017033212
0.95,1.3125532184833333,1.1699982355166665,0.05438294331710764,0.11227875992302488,60,60,0.1425549829666668,1.1218420495341304
0.97,1.2084159328000001,1.1010436125166667,0.05545449987733289,0.10348385106497171,60,60,0.10737232028333343,1.0975186805161254
0.99,1.0125476276833334,1.07876383215,0.04020574721268804,0.09798530489716403,60,60,-0.06621620446666654,0.9386184422454207
1.0,0.33768098681666664,0.0,0.02070878705592231,0.0,60,60,0.33768098681666664,
