run_id,protocol,trial,similarity,iteration,cpu_round_seconds,similarity_numeric,cpu_round_ms
sweep_merkle_n100000_sim100_t1,merkle,1,1,1,0.618831,1.0,618.831
sweep_merkle_n100000_sim100_t10,merkle,10,1,1,0.615452,1.0,615.452
sweep_merkle_n100000_sim100_t11,merkle,11,1,1,0.655626,1.0,655.6260000000001
sweep_merkle_n100000_sim100_t12,merkle,12,1,1,0.624612,1.0,624.612
sweep_merkle_n100000_sim100_t13,merkle,13,1,1,0.658691,1.0,658.691
sweep_merkle_n100000_sim100_t14,merkle,14,1,1,0.6312139999999999,1.0,631.2139999999999
sweep_merkle_n100000_sim100_t15,merkle,15,1,1,0.671204,1.0,671.2040000000001
sweep_merkle_n100000_sim100_t16,merkle,16,1,1,0.6305879999999999,1.0,630.588
sweep_merkle_n100000_sim100_t17,merkle,17,1,1,0.6705460000000001,1.0,670.546
sweep_merkle_n100000_sim100_t18,merkle,18,1,1,0.614802,1.0,614.8019999999999
sweep_merkle_n100000_sim100_t19,merkle,19,1,1,0.6749539999999999,1.0,674.954
sweep_merkle_n100000_sim100_t2,merkle,2,1,1,0.6225149999999999,1.0,622.5149999999999
sweep_merkle_n100000_sim100_t20,merkle,20,1,1,0.6578660000000001,1.0,657.8660000000001
sweep_merkle_n100000_sim100_t21,merkle,21,1,1,0.650174,1.0,650.174
sweep_merkle_n100000_sim100_t22,merkle,22,1,1,0.6335419999999999,1.0,633.5419999999999
sweep_merkle_n100000_sim100_t23,merkle,23,1,1,0.628177,1.0,628.177
sweep_merkle_n100000_sim100_t24,merkle,24,1,1,0.661997,1.0,661.997
sweep_merkle_n100000_sim100_t25,merkle,25,1,1,0.624247,1.0,624.247
sweep_merkle_n100000_sim100_t26,merkle,26,1,1,0.632626,1.0,632.626
sweep_merkle_n100000_sim100_t27,merkle,27,1,1,0.623954,1.0,623.9540000000001
sweep_merkle_n100000_sim100_t28,merkle,28,1,1,0.632883,1.0,632.8829999999999
sweep_merkle_n100000_sim100_t29,merkle,29,1,1,0.664413,1.0,664.413
sweep_merkle_n100000_sim100_t3,merkle,3,1,1,0.61088,1.0,610.88
sweep_merkle_n100000_sim100_t30,merkle,30,1,1,0.615265,1.0,615.265
sweep_merkle_n100000_sim100_t4,merkle,4,1,1,0.684017,1.0,684.0169999999999
sweep_merkle_n100000_sim100_t5,merkle,5,1,1,0.635171,1.0,635.171
sweep_merkle_n100000_sim100_t6,merkle,6,1,1,0.6695409999999999,1.0,669.5409999999999
sweep_merkle_n100000_sim100_t7,merkle,7,1,1,0.633425,1.0,633.4250000000001
sweep_merkle_n100000_sim100_t8,merkle,8,1,1,0.654378,1.0,654.378
sweep_merkle_n100000_sim100_t9,merkle,9,1,1,0.6605570000000001,1.0,660.557
