size,difference,mean_seconds,median_seconds,std_seconds,q25_seconds,q75_seconds,samples
100000,0,0.33768098681666664,0.338979001,0.02070878705592231,0.3194434325,0.3527402555,60
100000,1006,1.0125476276833334,1.008535304,0.04020574721268804,0.97855878975,1.0391648772500002,60
100000,3046,1.2084159328000001,1.2073738805,0.05545449987733289,1.1624586997500002,1.24804676825,60
100000,5130,1.3125532184833333,1.3005663840000001,0.05438294331710764,1.2716618389999998,1.33747083775,60
100000,10528,1.4611053570333332,1.4551731925,0.055586582310761565,1.41989271475,1.4953319755,60
100000,16218,1.5651269366333334,1.561488244,0.06554544463219043,1.5190463319999998,1.605049169,60
100000,22224,1.65746025295,1.642237181,0.07438005028305791,1.60672232575,1.69179303925,60
100000,28572,1.7971760315333334,1.7844663645,0.08098527646490916,1.73596212925,1.8457635965,60
100000,35296,1.9173433465666667,1.9110692225,0.06067317072536401,1.8730377265,1.9538159105,60
100000,50000,2.200589058133333,2.1892015325000003,0.08154410087076074,2.13833332925,2.2484606515000003,60
100000,66668,2.550688312083333,2.5349561945000003,0.1166122625916975,2.46410703425,2.599282572,60
100000,85716,2.883480624383333,2.875887841,0.09789312327197289,2.821270503,2.94217393075,60
100000,107694,3.284711254716667,3.267964236,0.09446331084996333,3.21672051575,3.342527844,60
100000,133334,3.7342599268333334,3.7099201115,0.12160677859152906,3.6446457737499998,3.795500331,60
100000,163638,4.309586911599999,4.271829989,0.17082286092870488,4.1900734255,4.365340111,60
100000,180954,4.770296805416667,4.7692455235,0.16818460804723373,4.685895415,4.83697408225,60
100000,200000,5.0309077787500005,5.009802788,0.1490627452999096,4.9381757685,5.114733820250001,60
