run_id,protocol,trial,similarity,iteration,rss_memory_bytes,similarity_numeric,rss_memory_mb
sweep_merkle_n100000_sim100_t12,merkle,12,1,1,129957888,1.0,123.9375
sweep_merkle_n100000_sim100_t13,merkle,13,1,1,129994752,1.0,123.97265625
sweep_merkle_n100000_sim100_t14,merkle,14,1,1,130170880,1.0,124.140625
sweep_merkle_n100000_sim100_t15,merkle,15,1,1,129761280,1.0,123.75
sweep_merkle_n100000_sim100_t16,merkle,16,1,1,130019328,1.0,123.99609375
sweep_merkle_n100000_sim100_t17,merkle,17,1,1,129970176,1.0,123.94921875
sweep_merkle_n100000_sim100_t18,merkle,18,1,1,129859584,1.0,123.84375
sweep_merkle_n100000_sim100_t19,merkle,19,1,1,130134016,1.0,124.10546875
sweep_merkle_n100000_sim100_t2,merkle,2,1,1,129830912,1.0,123.81640625
sweep_merkle_n100000_sim100_t20,merkle,20,1,1,129912832,1.0,123.89453125
sweep_merkle_n100000_sim100_t21,merkle,21,1,1,130084864,1.0,124.05859375
sweep_merkle_n100000_sim100_t22,merkle,22,1,1,130093056,1.0,124.06640625
sweep_merkle_n100000_sim100_t23,merkle,23,1,1,130052096,1.0,124.02734375
sweep_merkle_n100000_sim100_t24,merkle,24,1,1,130240512,1.0,124.20703125
sweep_merkle_n100000_sim100_t25,merkle,25,1,1,129994752,1.0,123.97265625
sweep_merkle_n100000_sim100_t26,merkle,26,1,1,130043904,1.0,124.01953125
sweep_merkle_n100000_sim100_t27,merkle,27,1,1,130072576,1.0,124.046875
sweep_merkle_n100000_sim100_t28,merkle,28,1,1,129871872,1.0,123.85546875
sweep_merkle_n100000_sim100_t29,merkle,29,1,1,130252800,1.0,124.21875
sweep_merkle_n100000_sim100_t3,merkle,3,1,1,129941504,1.0,123.921875
sweep_merkle_n100000_sim100_t30,merkle,30,1,1,130056192,1.0,124.03125
sweep_merkle_n100000_sim100_t4,merkle,4,1,1,129835008,1.0,123.8203125
sweep_merkle_n100000_sim100_t5,merkle,5,1,1,129794048,1.0,123.78125
sweep_merkle_n100000_sim100_t6,merkle,6,1,1,129708032,1.0,123.69921875
sweep_merkle_n100000_sim100_t7,merkle,7,1,1,129970176,1.0,123.94921875
sweep_merkle_n100000_sim100_t8,merkle,8,1,1,129994752,1.0,123.97265625
sweep_merkle_n100000_sim100_t9,merkle,9,1,1,129933312,1.0,123.9140625
sweep_merkle_n100000_sim10_t1,merkle,1,0.1,1,504147968,0.1,480.79296875
sweep_merkle_n100000_sim10_t10,merkle,10,0.1,1,422006784,0.1,402.45703125
sweep_merkle_n100000_sim10_t11,merkle,11,0.1,1,508456960,0.1,484.90234375
sweep_merkle_n100000_sim10_t12,merkle,12,0.1,1,511451136,0.1,487.7578125
sweep_merkle_n100000_sim10_t13,merkle,13,0.1,1,433352704,0.1,413.27734375
sweep_merkle_n100000_sim10_t14,merkle,14,0.1,1,476254208,0.1,454.19140625
sweep_merkle_n100000_sim10_t15,merkle,15,0.1,1,442728448,0.1,422.21875
sweep_merkle_n100000_sim10_t16,merkle,16,0.1,1,466665472,0.1,445.046875
sweep_merkle_n100000_sim10_t17,merkle,17,0.1,1,480010240,0.1,457.7734375
sweep_merkle_n100000_sim10_t18,merkle,18,0.1,1,523055104,0.1,498.82421875
sweep_merkle_n100000_sim10_t19,merkle,19,0.1,1,526442496,0.1,502.0546875
sweep_merkle_n100000_sim10_t2,merkle,2,0.1,1,486481920,0.1,463.9453125
sweep_merkle_n100000_sim10_t20,merkle,20,0.1,1,503422976,0.1,480.1015625
sweep_merkle_n100000_sim10_t21,merkle,21,0.1,1,471937024,0.1,450.07421875
sweep_merkle_n100000_sim10_t22,merkle,22,0.1,1,462192640,0.1,440.78125
sweep_merkle_n100000_sim10_t23,merkle,23,0.1,1,447750144,0.1,427.0078125
sweep_merkle_n100000_sim10_t24,merkle,24,0.1,1,472702976,0.1,450.8046875
sweep_merkle_n100000_sim10_t25,merkle,25,0.1,1,474882048,0.1,452.8828125
sweep_merkle_n100000_sim10_t26,merkle,26,0.1,1,472842240,0.1,450.9375
sweep_merkle_n100000_sim10_t27,merkle,27,0.1,1,414015488,0.1,394.8359375
sweep_merkle_n100000_sim10_t28,merkle,28,0.1,1,419020800,0.1,399.609375
sweep_merkle_n100000_sim10_t29,merkle,29,0.1,1,430231552,0.1,410.30078125
sweep_merkle_n100000_sim10_t3,merkle,3,0.1,1,522354688,0.1,498.15625
sweep_merkle_n100000_sim10_t30,merkle,30,0.1,1,459919360,0.1,438.61328125
sweep_merkle_n100000_sim10_t4,merkle,4,0.1,1,494718976,0.1,471.80078125
sweep_merkle_n100000_sim10_t5,merkle,5,0.1,1,414863360,0.1,395.64453125
sweep_merkle_n100000_sim10_t6,merkle,6,0.1,1,446758912,0.1,426.0625
sweep_merkle_n100000_sim10_t7,merkle,7,0.1,1,504934400,0.1,481.54296875
sweep_merkle_n100000_sim10_t8,merkle,8,0.1,1,517390336,0.1,493.421875
sweep_merkle_n100000_sim10_t9,merkle,9,0.1,1,474849280,0.1,452.8515625
sweep_merkle_n100000_sim20_t1,merkle,1,0.2,1,416923648,0.2,397.609375
sweep_merkle_n100000_sim20_t10,merkle,10,0.2,1,408485888,0.2,389.5625
sweep_merkle_n100000_sim20_t11,merkle,11,0.2,1,426033152,0.2,406.296875
sweep_merkle_n100000_sim20_t12,merkle,12,0.2,1,474505216,0.2,452.5234375
sweep_merkle_n100000_sim20_t13,merkle,13,0.2,1,415248384,0.2,396.01171875
sweep_merkle_n100000_sim20_t14,merkle,14,0.2,1,479047680,0.2,456.85546875
sweep_merkle_n100000_sim20_t15,merkle,15,0.2,1,447979520,0.2,427.2265625
sweep_merkle_n100000_sim20_t16,merkle,16,0.2,1,463790080,0.2,442.3046875
sweep_merkle_n100000_sim20_t17,merkle,17,0.2,1,468295680,0.2,446.6015625
sweep_merkle_n100000_sim20_t18,merkle,18,0.2,1,428781568,0.2,408.91796875
sweep_merkle_n100000_sim20_t19,merkle,19,0.2,1,443461632,0.2,422.91796875
