run_dir,iteration,scom_size,protocol,trial,similarity,run_id
sweep_rbf_riblt_n100000_sim00_t26,1,3160,rbf_riblt,26,0,sweep_rbf_riblt_n100000_sim00_t26
sweep_rbf_riblt_n100000_sim00_t26,1,115,rbf_riblt,26,0,sweep_rbf_riblt_n100000_sim00_t26
sweep_rbf_riblt_n100000_sim00_t27,1,3001,rbf_riblt,27,0,sweep_rbf_riblt_n100000_sim00_t27
sweep_rbf_riblt_n100000_sim00_t27,1,96,rbf_riblt,27,0,sweep_rbf_riblt_n100000_sim00_t27
sweep_rbf_riblt_n100000_sim00_t28,1,3121,rbf_riblt,28,0,sweep_rbf_riblt_n100000_sim00_t28
sweep_rbf_riblt_n100000_sim00_t28,1,99,rbf_riblt,28,0,sweep_rbf_riblt_n100000_sim00_t28
sweep_rbf_riblt_n100000_sim00_t29,1,3176,rbf_riblt,29,0,sweep_rbf_riblt_n100000_sim00_t29
sweep_rbf_riblt_n100000_sim00_t29,1,104,rbf_riblt,29,0,sweep_rbf_riblt_n100000_sim00_t29
sweep_rbf_riblt_n100000_sim00_t30,1,3111,rbf_riblt,30,0,sweep_rbf_riblt_n100000_sim00_t30
sweep_rbf_riblt_n100000_sim00_t30,1,86,rbf_riblt,30,0,sweep_rbf_riblt_n100000_sim00_t30
sweep_rbf_riblt_n100000_sim05_t1,1,12380,rbf_riblt,1,0.05,sweep_rbf_riblt_n100000_sim05_t1
sweep_rbf_riblt_n100000_sim05_t1,1,9870,rbf_riblt,1,0.05,sweep_rbf_riblt_n100000_sim05_t1
sweep_rbf_riblt_n100000_sim05_t2,1,12441,rbf_riblt,2,0.05,sweep_rbf_riblt_n100000_sim05_t2
sweep_rbf_riblt_n100000_sim05_t2,1,9890,rbf_riblt,2,0.05,sweep_rbf_riblt_n100000_sim05_t2
sweep_rbf_riblt_n100000_sim05_t3,1,12300,rbf_riblt,3,0.05,sweep_rbf_riblt_n100000_sim05_t3
sweep_rbf_riblt_n100000_sim05_t3,1,9898,rbf_riblt,3,0.05,sweep_rbf_riblt_n100000_sim05_t3
sweep_rbf_riblt_n100000_sim05_t4,1,12312,rbf_riblt,4,0.05,sweep_rbf_riblt_n100000_sim05_t4
sweep_rbf_riblt_n100000_sim05_t4,1,9878,rbf_riblt,4,0.05,sweep_rbf_riblt_n100000_sim05_t4
sweep_rbf_riblt_n100000_sim05_t5,1,12310,rbf_riblt,5,0.05,sweep_rbf_riblt_n100000_sim05_t5
sweep_rbf_riblt_n100000_sim05_t5,1,9885,rbf_riblt,5,0.05,sweep_rbf_riblt_n100000_sim05_t5
sweep_rbf_riblt_n100000_sim05_t6,1,12382,rbf_riblt,6,0.05,sweep_rbf_riblt_n100000_sim05_t6
sweep_rbf_riblt_n100000_sim05_t6,1,9842,rbf_riblt,6,0.05,sweep_rbf_riblt_n100000_sim05_t6
sweep_rbf_riblt_n100000_sim05_t7,1,12394,rbf_riblt,7,0.05,sweep_rbf_riblt_n100000_sim05_t7
sweep_rbf_riblt_n100000_sim05_t7,1,9863,rbf_riblt,7,0.05,sweep_rbf_riblt_n100000_sim05_t7
sweep_rbf_riblt_n100000_sim05_t8,1,12337,rbf_riblt,8,0.05,sweep_rbf_riblt_n100000_sim05_t8
sweep_rbf_riblt_n100000_sim05_t8,1,9882,rbf_riblt,8,0.05,sweep_rbf_riblt_n100000_sim05_t8
sweep_rbf_riblt_n100000_sim05_t9,1,12322,rbf_riblt,9,0.05,sweep_rbf_riblt_n100000_sim05_t9
sweep_rbf_riblt_n100000_sim05_t9,1,9880,rbf_riblt,9,0.05,sweep_rbf_riblt_n100000_sim05_t9
sweep_rbf_riblt_n100000_sim05_t10,1,12364,rbf_riblt,10,0.05,sweep_rbf_riblt_n100000_sim05_t10
sweep_rbf_riblt_n100000_sim05_t10,1,9896,rbf_riblt,10,0.05,sweep_rbf_riblt_n100000_sim05_t10
sweep_rbf_riblt_n100000_sim05_t11,1,12356,rbf_riblt,11,0.05,sweep_rbf_riblt_n100000_sim05_t11
sweep_rbf_riblt_n100000_sim05_t11,1,9898,rbf_riblt,11,0.05,sweep_rbf_riblt_n100000_sim05_t11
sweep_rbf_riblt_n100000_sim05_t12,1,9887,rbf_riblt,12,0.05,sweep_rbf_riblt_n100000_sim05_t12
sweep_rbf_riblt_n100000_sim05_t12,1,12247,rbf_riblt,12,0.05,sweep_rbf_riblt_n100000_sim05_t12
sweep_rbf_riblt_n100000_sim05_t13,1,12295,rbf_riblt,13,0.05,sweep_rbf_riblt_n100000_sim05_t13
sweep_rbf_riblt_n100000_sim05_t13,1,9873,rbf_riblt,13,0.05,sweep_rbf_riblt_n100000_sim05_t13
sweep_rbf_riblt_n100000_sim05_t14,1,12382,rbf_riblt,14,0.05,sweep_rbf_riblt_n100000_sim05_t14
sweep_rbf_riblt_n100000_sim05_t14,1,9874,rbf_riblt,14,0.05,sweep_rbf_riblt_n100000_sim05_t14
sweep_rbf_riblt_n100000_sim05_t15,1,12267,rbf_riblt,15,0.05,sweep_rbf_riblt_n100000_sim05_t15
sweep_rbf_riblt_n100000_sim05_t15,1,9884,rbf_riblt,15,0.05,sweep_rbf_riblt_n100000_sim05_t15
sweep_rbf_riblt_n100000_sim05_t16,1,12399,rbf_riblt,16,0.05,sweep_rbf_riblt_n100000_sim05_t16
sweep_rbf_riblt_n100000_sim05_t16,1,9877,rbf_riblt,16,0.05,sweep_rbf_riblt_n100000_sim05_t16
sweep_rbf_riblt_n100000_sim05_t17,1,12335,rbf_riblt,17,0.05,sweep_rbf_riblt_n100000_sim05_t17
sweep_rbf_riblt_n100000_sim05_t17,1,9880,rbf_riblt,17,0.05,sweep_rbf_riblt_n100000_sim05_t17
sweep_rbf_riblt_n100000_sim05_t18,1,12427,rbf_riblt,18,0.05,sweep_rbf_riblt_n100000_sim05_t18
sweep_rbf_riblt_n100000_sim05_t18,1,9877,rbf_riblt,18,0.05,sweep_rbf_riblt_n100000_sim05_t18
sweep_rbf_riblt_n100000_sim05_t19,1,12428,rbf_riblt,19,0.05,sweep_rbf_riblt_n100000_sim05_t19
sweep_rbf_riblt_n100000_sim05_t19,1,9875,rbf_riblt,19,0.05,sweep_rbf_riblt_n100000_sim05_t19
sweep_rbf_riblt_n100000_sim05_t20,1,12330,rbf_riblt,20,0.05,sweep_rbf_riblt_n100000_sim05_t20
sweep_rbf_riblt_n100000_sim05_t20,1,9893,rbf_riblt,20,0.05,sweep_rbf_riblt_n100000_sim05_t20
sweep_rbf_riblt_n100000_sim05_t21,1,12390,rbf_riblt,21,0.05,sweep_rbf_riblt_n100000_sim05_t21
