run_id,protocol,trial,similarity,bytes_sent,transmitted_bytes,similarity_numeric
sweep_merkle_n100000_sim100_t12,merkle,12,1,200.0,200.0,1.0
sweep_merkle_n100000_sim100_t13,merkle,13,1,200.0,200.0,1.0
sweep_merkle_n100000_sim100_t14,merkle,14,1,200.0,200.0,1.0
sweep_merkle_n100000_sim100_t15,merkle,15,1,200.0,200.0,1.0
sweep_merkle_n100000_sim100_t16,merkle,16,1,200.0,200.0,1.0
sweep_merkle_n100000_sim100_t17,merkle,17,1,200.0,200.0,1.0
sweep_merkle_n100000_sim100_t18,merkle,18,1,200.0,200.0,1.0
sweep_merkle_n100000_sim100_t19,merkle,19,1,200.0,200.0,1.0
sweep_merkle_n100000_sim100_t2,merkle,2,1,200.0,200.0,1.0
sweep_merkle_n100000_sim100_t20,merkle,20,1,200.0,200.0,1.0
sweep_merkle_n100000_sim100_t21,merkle,21,1,200.0,200.0,1.0
sweep_merkle_n100000_sim100_t22,merkle,22,1,200.0,200.0,1.0
sweep_merkle_n100000_sim100_t23,merkle,23,1,100.0,100.0,1.0
sweep_merkle_n100000_sim100_t24,merkle,24,1,200.0,200.0,1.0
sweep_merkle_n100000_sim100_t25,merkle,25,1,200.0,200.0,1.0
sweep_merkle_n100000_sim100_t26,merkle,26,1,200.0,200.0,1.0
sweep_merkle_n100000_sim100_t27,merkle,27,1,200.0,200.0,1.0
sweep_merkle_n100000_sim100_t28,merkle,28,1,200.0,200.0,1.0
sweep_merkle_n100000_sim100_t29,merkle,29,1,200.0,200.0,1.0
sweep_merkle_n100000_sim100_t3,merkle,3,1,200.0,200.0,1.0
sweep_merkle_n100000_sim100_t30,merkle,30,1,200.0,200.0,1.0
sweep_merkle_n100000_sim100_t4,merkle,4,1,200.0,200.0,1.0
sweep_merkle_n100000_sim100_t5,merkle,5,1,200.0,200.0,1.0
sweep_merkle_n100000_sim100_t6,merkle,6,1,200.0,200.0,1.0
sweep_merkle_n100000_sim100_t7,merkle,7,1,100.0,100.0,1.0
sweep_merkle_n100000_sim100_t8,merkle,8,1,200.0,200.0,1.0
sweep_merkle_n100000_sim100_t9,merkle,9,1,200.0,200.0,1.0
sweep_merkle_n100000_sim10_t1,merkle,1,0.1,107960304.0,107960304.0,0.1
sweep_merkle_n100000_sim10_t10,merkle,10,0.1,108810298.0,108810298.0,0.1
sweep_merkle_n100000_sim10_t11,merkle,11,0.1,108610962.0,108610962.0,0.1
sweep_merkle_n100000_sim10_t12,merkle,12,0.1,108398354.0,108398354.0,0.1
sweep_merkle_n100000_sim10_t13,merkle,13,0.1,108810298.0,108810298.0,0.1
sweep_merkle_n100000_sim10_t14,merkle,14,0.1,108610962.0,108610962.0,0.1
sweep_merkle_n100000_sim10_t15,merkle,15,0.1,108610962.0,108610962.0,0.1
sweep_merkle_n100000_sim10_t16,merkle,16,0.1,108810298.0,108810298.0,0.1
sweep_merkle_n100000_sim10_t17,merkle,17,0.1,108810298.0,108810298.0,0.1
sweep_merkle_n100000_sim10_t18,merkle,18,0.1,108810298.0,108810298.0,0.1
sweep_merkle_n100000_sim10_t19,merkle,19,0.1,108610962.0,108610962.0,0.1
sweep_merkle_n100000_sim10_t2,merkle,2,0.1,108155746.0,108155746.0,0.1
sweep_merkle_n100000_sim10_t20,merkle,20,0.1,108810298.0,108810298.0,0.1
sweep_merkle_n100000_sim10_t21,merkle,21,0.1,108810298.0,108810298.0,0.1
sweep_merkle_n100000_sim10_t22,merkle,22,0.1,108610962.0,108610962.0,0.1
sweep_merkle_n100000_sim10_t23,merkle,23,0.1,108610962.0,108610962.0,0.1
sweep_merkle_n100000_sim10_t24,merkle,24,0.1,108610962.0,108610962.0,0.1
