protocol,similarity,mean_round_duration_seconds,std_round_duration_seconds,median_round_duration_seconds,rounds,q75_round_duration_seconds,q25_round_duration_seconds
merkle,0.0,8.089349614133333,0.22610891705860092,8.02950845,60,8.31249177475,7.8943201610000004
merkle,0.05,7.548990779166667,0.2246075526385157,7.494249095000001,60,7.758477936999999,7.35162460325
merkle,0.1,6.8687176912000005,0.2176218643115247,6.827414487,60,7.06483783125,6.68259437
merkle,0.2,5.767948587233334,0.18814626293786335,5.674771364,60,5.95681157275,5.601160913
merkle,0.3,4.9117297127,0.16417831335993707,4.8837327605,60,5.055733042,4.756923866999999
merkle,0.4,4.000458130816667,0.15704300077200484,3.907227961,60,4.149775597,3.86043778625
merkle,0.5,3.40328029995,0.1466089335917562,3.3353281399999997,60,3.5507143892500004,3.27139776325
merkle,0.6,2.7242467831833332,0.1421555877101855,2.700587142,60,2.84822360075,2.5816600975
merkle,0.7,2.21133375935,0.1318754970264023,2.1401799319999997,60,2.3443440925,2.08651515425
merkle,0.75,1.9721232121833334,0.12216449244479304,1.9378461575,60,2.08919768725,1.8573659765
merkle,0.8,1.7164411796,0.1138609920995558,1.6620545715000001,60,1.81884038975,1.6094093867500001
merkle,0.85,1.51219972925,0.11442781795254643,1.456295126,60,1.62673803075,1.40853493875
merkle,0.9,1.3115649196666666,0.10916504011040981,1.262614807,60,1.411923828,1.20643413725
merkle,0.95,1.1699982355166665,0.11227875992302488,1.160255218,60,1.27584263925,1.06397233175
merkle,0.97,1.1010436125166667,0.10348385106497171,1.0548905615,60,1.2004904645,1.00614457425
merkle,0.99,1.07876383215,0.09798530489716403,1.0244023800000002,60,1.17308442075,0.98570983475
merkle,1.0,0.0,0.0,0.0,60,0.0,0.0
rbf_riblt,0.0,2.3516089376833333,0.20863065417993082,2.2821394125000003,60,2.398564093,2.20835022325
rbf_riblt,0.05,2.2534386324333338,0.24977260385871466,2.1896890530000004,60,2.323138792,2.058318548
rbf_riblt,0.1,2.1848775136833334,0.20337098046979857,2.1762151034999997,60,2.2637967860000003,2.0157980447500004
rbf_riblt,0.2,2.2779916587,0.22739415684904427,2.221052459,60,2.3489146560000003,2.1114598884999998
rbf_riblt,0.3,2.29541786855,0.20135572022699577,2.2924591675,60,2.4147889730000003,2.1246455962499997
rbf_riblt,0.4,2.2693065002833332,0.1852473642713327,2.2506716019999997,60,2.3719670675,2.1385621599999998
rbf_riblt,0.5,2.293505209233333,0.1541384853391702,2.2810530105,60,2.40451587025,2.1705209400000003
rbf_riblt,0.6,2.27910146305,0.1342740965414389,2.2904417285000003,60,2.35733298275,2.1578040342500002
rbf_riblt,0.7,2.27258426625,0.12248138666224966,2.3030425295,60,2.3610859037500003,2.16569466775
rbf_riblt,0.75,2.24950141755,0.15218677739601674,2.2271994785,60,2.3810489415,2.121813725
rbf_riblt,0.8,2.16306730365,0.1421457938114424,2.1628388405,60,2.2924241034999997,2.0317868734999998
rbf_riblt,0.85,2.1881082285,0.20104581351795253,2.1835793735,60,2.298988275,2.04218708475
rbf_riblt,0.9,2.0568664881500003,0.1351787496707708,2.0667054995000003,60,2.1590176962500003,1.9369858225
rbf_riblt,0.95,1.8754764736,0.1288517674802543,1.8549362575,60,1.9925437030000002,1.761530525
rbf_riblt,0.97,1.7434254923333334,0.12391901069917403,1.7199470465,60,1.8617768567500002,1.6457153089999998
rbf_riblt,0.99,1.5476579617833333,0.12249424442175005,1.555452082,60,1.64797627525,1.4341742045
rbf_riblt,1.0,1.02731114735,0.13007345669227152,1.00011144,60,1.14723353725,0.9166694395
riblt,0.0,5.0309077787500005,0.1490627452999096,5.009802788,60,5.114733820250001,4.9381757685
riblt,0.05,4.770296805416667,0.16818460804723373,4.7692455235,60,4.83697408225,4.685895415
riblt,0.1,4.309586911599999,0.17082286092870488,4.271829989,60,4.365340111,4.1900734255
riblt,0.2,3.7342599268333334,0.12160677859152906,3.7099201115,60,3.795500331,3.6446457737499998
riblt,0.3,3.284711254716667,0.09446331084996333,3.267964236,60,3.342527844,3.21672051575
riblt,0.4,2.883480624383333,0.09789312327197289,2.875887841,60,2.94217393075,2.821270503
riblt,0.5,2.550688312083333,0.1166122625916975,2.5349561945000003,60,2.599282572,2.46410703425
riblt,0.6,2.200589058133333,0.08154410087076074,2.1892015325000003,60,2.2484606515000003,2.13833332925
riblt,0.7,1.9173433465666667,0.06067317072536401,1.9110692225,60,1.9538159105,1.8730377265
riblt,0.75,1.7971760315333334,0.08098527646490916,1.7844663645,60,1.8457635965,1.73596212925
riblt,0.8,1.65746025295,0.07438005028305791,1.642237181,60,1.69179303925,1.60672232575
riblt,0.85,1.5651269366333334,0.06554544463219043,1.561488244,60,1.605049169,1.5190463319999998
riblt,0.9,1.4611053570333332,0.055586582310761565,1.4551731925,60,1.4953319755,1.41989271475
riblt,0.95,1.3125532184833333,0.05438294331710764,1.3005663840000001,60,1.33747083775,1.2716618389999998
riblt,0.97,1.2084159328000001,0.05545449987733289,1.2073738805,60,1.24804676825,1.1624586997500002
riblt,0.99,1.0125476276833334,0.04020574721268804,1.008535304,60,1.0391648772500002,0.97855878975
riblt,1.0,0.33768098681666664,0.02070878705592231,0.338979001,60,0.3527402555,0.3194434325
