protocol,similarity_numeric,iteration,mean_cpu_ms,median_cpu_ms,std_cpu_ms,q25_cpu_ms,q75_cpu_ms,samples
merkle,0.0,1,3929.7174,3933.0895,130.8906243578966,3862.2739999999994,4037.991,30
merkle,0.05,1,3759.466033333333,3774.492,167.12633903138465,3686.2055,3856.1665,30
merkle,0.1,1,3334.5244333333335,3339.2335,175.84072278699833,3215.9440000000004,3487.4617500000004,30
merkle,0.2,1,2977.411666666667,2970.787,88.948762393489,2919.4045000000006,3045.3690000000006,30
merkle,0.3,1,2641.838166666667,2641.3875000000003,80.88044141054353,2601.02325,2681.8810000000003,30
merkle,0.4,1,2387.440466666667,2394.3860000000004,61.45532477461997,2351.7284999999997,2423.2652500000004,30
merkle,0.5,1,2165.6607,2163.259,51.912297391784854,2117.86575,2209.91575,30
merkle,0.6,1,1919.8739333333333,1909.599,53.61275219568011,1896.0739999999998,1945.7995,30
merkle,0.7,1,1739.4161,1738.698,34.32018784446419,1720.78075,1759.5644999999997,30
merkle,0.75,1,1587.1492,1594.516,44.25242272845562,1576.9979999999998,1615.1430000000003,30
merkle,0.8,1,1510.7574666666665,1523.4344999999998,48.83891183072365,1478.4682500000001,1550.5954999999997,30
merkle,0.85,1,1421.0782,1425.4814999999999,42.280361305179866,1391.7377500000002,1449.5735000000002,30
merkle,0.9,1,1362.2223333333334,1365.4519999999998,45.40579696799577,1326.95125,1394.603,30
merkle,0.95,1,1295.0569,1302.62,39.05586873322497,1272.27275,1319.998,30
merkle,0.97,1,1265.3132666666668,1269.7939999999999,43.612163829113875,1232.0925,1289.5100000000002,30
merkle,0.99,1,1232.1790666666666,1238.251,30.265485734645527,1205.77925,1255.67875,30
merkle,1.0,1,644.9941666666666,637.185,20.752320342360605,628.1797499999999,662.4105,30
rbf_riblt,0.0,1,2217.568133333333,2208.3615,95.5684359708405,2164.9970000000003,2283.35775,30
rbf_riblt,0.05,1,2363.940466666667,2391.398,130.49936393707668,2273.466,2442.74825,30
rbf_riblt,0.1,1,2310.5157000000004,2320.2265,62.740099850508074,2273.488,2359.55325,30
rbf_riblt,0.2,1,2581.6628666666666,2591.2185,75.05467199992334,2529.54925,2641.90975,30
rbf_riblt,0.3,1,2735.3912333333337,2730.139,92.93677366330127,2681.042,2819.6415,30
rbf_riblt,0.4,1,2864.9848333333334,2872.6475,74.1585424223847,2830.02425,2896.8782499999998,30
rbf_riblt,0.5,1,3032.1734,3056.1719999999996,84.16188877379352,2983.91575,3097.6422500000003,30
rbf_riblt,0.6,1,3026.6672000000003,3029.203,81.72968690430594,2988.1937500000004,3069.0654999999997,30
rbf_riblt,0.7,1,3123.028466666667,3140.0785,78.05008721183289,3070.5477499999997,3184.6390000000006,30
rbf_riblt,0.75,1,3092.7554,3105.7389999999996,91.20222942775636,3038.9945,3158.4105,30
rbf_riblt,0.8,1,2930.7394333333336,2934.8385,61.7839580611529,2902.3805,2964.8307499999996,30
rbf_riblt,0.85,1,3120.5933333333332,3110.6125,85.59977642910425,3063.601,3155.642,30
rbf_riblt,0.9,1,2930.141366666667,2919.0424999999996,103.84363232930396,2879.42575,2957.13425,30
rbf_riblt,0.95,1,2669.1046,2673.6025000000004,58.73735918100687,2632.168,2710.4725,30
rbf_riblt,0.97,1,2544.1671333333334,2548.3095,75.69559813044897,2506.9575000000004,2587.2975,30
rbf_riblt,0.99,1,2198.8925,2192.348,55.267185325877044,2158.05575,2228.9745000000003,30
rbf_riblt,1.0,1,1570.6009666666666,1584.152,55.98261260888139,1542.3935,1612.37725,30
riblt,0.0,1,13439.583466666667,13505.797999999999,352.0737408184725,13124.79075,13721.9815,30
riblt,0.05,1,12950.023066666667,12785.262999999999,528.7330116830651,12660.492999999999,13160.509,30
riblt,0.1,1,11940.7935,11970.9945,230.3187609701179,11778.17125,12111.791749999999,30
riblt,0.2,1,10708.124533333332,10725.9585,161.24795928112212,10567.397,10837.3595,30
riblt,0.3,1,9611.486466666665,9620.407,172.43130286655523,9522.57275,9699.117,30
riblt,0.4,1,8649.704366666667,8653.6035,182.49542975845387,8539.36075,8740.99475,30
riblt,0.5,1,7850.3875,7836.9265,152.86106248547924,7718.481,7971.8865000000005,30
riblt,0.6,1,6994.344533333334,6995.9855,163.93711219660116,6919.918249999999,7059.60325,30
riblt,0.7,1,6205.5652666666665,6200.912499999999,93.57206949944606,6125.1585000000005,6274.455749999999,30
riblt,0.75,1,5859.5796,5851.437,135.35798838803393,5793.1595,5976.0602499999995,30
riblt,0.8,1,5558.215933333334,5534.624,110.03392070189028,5484.688,5604.3835,30
riblt,0.85,1,5224.581666666667,5235.63,91.10837490568026,5160.18675,5279.9635,30
riblt,0.9,1,4883.888833333333,4873.2865,79.94911398188538,4838.36425,4932.743750000001,30
riblt,0.95,1,4338.132766666667,4344.1645,86.26003171233238,4287.8065,4391.74,30
riblt,0.97,1,3973.8087,3970.3549999999996,60.989128866883895,3933.67,4004.1045,30
riblt,0.99,1,3271.8755,3281.3554999999997,97.97622623169059,3205.4894999999997,3337.62075,30
riblt,1.0,1,1674.1497000000002,1670.5774999999999,48.085553608162286,1638.014,1698.2592499999998,30
