iteration,timestamp,value,node,protocol,run_id,trial,similarity,labels
1,2555,1006,"127.0.0.1:9001","riblt","sweep_riblt_n100000_sim99_t8","8","0.99","127.0.0.1:9001"
1,2618,1006,"127.0.0.1:9000","riblt","sweep_riblt_n100000_sim99_t8","8","0.99","127.0.0.1:9000"
