iteration,timestamp,value,node,protocol,run_id,trial,similarity,labels
1,5748,1,"127.0.0.1:9000","riblt","sweep_riblt_n100000_sim10_t27","27","0.10","127.0.0.1:9000"
1,5884,1,"127.0.0.1:9001","riblt","sweep_riblt_n100000_sim10_t27","27","0.10","127.0.0.1:9001"
