iteration,timestamp,value,node,protocol,run_id,trial,similarity,labels
1,3418,2.005098925,"127.0.0.1:9000","rbf_riblt","sweep_rbf_riblt_n100000_sim85_t29","29","0.85","127.0.0.1:9000"
1,3538,2.247964731,"127.0.0.1:9001","rbf_riblt","sweep_rbf_riblt_n100000_sim85_t29","29","0.85","127.0.0.1:9001"
